Category,Frequency,Percent,Valid Percent,Cumulative Percent
TOO LITTLE,992,22.0,68.6,68.6
ABOUT RIGHT,365,8.1,25.2,93.8
TOO MUCH,89,2.0,6.2,100.0
Total (Valid),1446,32.1,100.0,
NAP,3026,67.1,,
DK,38,0.8,,
Total (Missing),3064,67.9,,
Grand Total,4510,100.0,,
