Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,YLDs,6885946,4756646.071,9339611.573
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,"YLDs per 100,000",499,344.5445931,676.5087461
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,YLDs,1644783,1034671.886,2300269.959
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,"YLDs per 100,000",119,74.94579132,166.6185723
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,YLDs,2968420,1901539.144,4331849.868
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,"YLDs per 100,000",215,137.7367626,313.7747539
India,2017,All ages,Both,Substance use disorders,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Substance use disorders,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Substance use disorders,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Substance use disorders,Behavioral risks,YLDs,3645970,2559907.239,4777569.789
India,2017,All ages,Both,Substance use disorders,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Substance use disorders,Behavioral risks,"YLDs per 100,000",264,185.4252314,346.0601891
India,2017,All ages,Both,Mental disorders,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Mental disorders,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Mental disorders,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Mental disorders,Environmental/occupational risks,YLDs,1513095,627700.013,2714935.578
India,2017,All ages,Both,Mental disorders,Environmental/occupational risks,Percent of total YLDs,0,,
