Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
Dengue,3,Male,0.00043,3.41,0.75,0.1,-56.45,<.0001
Dengue,3,Female,0.0006,-3.94,0.71,0.14,-68.4,<.0001
Yellow fever,3,Female,0.15,-26.85,<.0001,0.32,-46.44,<.0001
Yellow fever,3,Male,0.15,-26.29,<.0001,0.34,-46.63,<.0001
Yellow fever,3,Both,0.15,-26.46,<.0001,0.33,-46.48,<.0001
Rabies,3,Both,0.5,102.08,<.0001,0.22,50.9,<.0001
Rabies,3,Female,0.47,97.91,<.0001,0.21,51.51,<.0001
Rabies,3,Male,0.51,101.82,<.0001,0.21,47.51,<.0001
Intestinal nematode infections,3,Female,0.0062,7.83,0.23,0.021,-15.17,0.024
Intestinal nematode infections,3,Both,0.0062,7.4,0.23,0.019,-13.5,0.033
Intestinal nematode infections,3,Male,0.006,7.01,0.23,0.016,-11.72,0.052
Ebola,3,Both,<.0001,0,1,<.0001,0,1
Ebola,3,Female,<.0001,0,1,<.0001,0,1
Ebola,3,Male,<.0001,0,1,<.0001,0,1
Zika virus,3,Female,0.008,7.87,0.17,0.071,-24.08,<.0001
Zika virus,3,Both,0.0086,8.44,0.15,0.081,-26.77,<.0001
Zika virus,3,Male,0.009,9.07,0.14,0.089,-29.38,<.0001
Other neglected tropical diseases,3,Male,0.66,104.45,<.0001,0.28,42.66,<.0001
Other neglected tropical diseases,3,Female,0.55,96.21,<.0001,0.078,24.16,<.0001
Other neglected tropical diseases,3,Both,0.64,103.48,<.0001,0.2,36.69,<.0001
Other infectious diseases,2,Both,0.74,102.81,<.0001,0.51,43.25,<.0001
Other infectious diseases,2,Male,0.75,98.88,<.0001,0.52,41,<.0001
Other infectious diseases,2,Female,0.71,107.06,<.0001,0.49,46.32,<.0001
Meningitis,3,Both,0.68,80.26,<.0001,0.31,25.2,<.0001
Meningitis,3,Male,0.68,77.53,<.0001,0.3,24.56,<.0001
Meningitis,3,Female,0.66,83.42,<.0001,0.31,27.07,<.0001
Encephalitis,3,Female,0.48,85.84,<.0001,0.0092,8.25,0.14
Encephalitis,3,Both,0.51,84.52,<.0001,0.015,9.84,0.058
Encephalitis,3,Male,0.54,84.3,<.0001,0.031,13.27,0.0063
Diphtheria,3,Male,0.54,60.66,<.0001,0.46,49.45,<.0001
Diphtheria,3,Female,0.51,55.17,<.0001,0.42,44.44,<.0001
Diphtheria,3,Both,0.54,57.09,<.0001,0.45,46.09,<.0001
Pertussis,3,Both,0.18,27.92,<.0001,0.15,24.84,<.0001
Pertussis,3,Female,0.17,31.37,<.0001,0.15,28.63,<.0001
Pertussis,3,Male,0.17,26.43,<.0001,0.13,22.97,<.0001
Tetanus,3,Male,0.59,99.97,<.0001,0.2,39.86,<.0001
