Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
Vascular intestinal disorders,3,Female,0.38,26.83,<.0001,0.2,14,<.0001
Vascular intestinal disorders,3,Male,0.47,37.59,<.0001,0.34,22.69,<.0001
Gallbladder and biliary diseases,3,Female,0.43,27.45,<.0001,0.075,7.36,<.0001
Gallbladder and biliary diseases,3,Both,0.47,28.14,<.0001,0.13,9.45,<.0001
Gallbladder and biliary diseases,3,Male,0.49,28.67,<.0001,0.19,11.85,<.0001
Pancreatitis,3,Male,0.51,33.14,<.0001,0.085,8.49,<.0001
Pancreatitis,3,Both,0.54,36.67,<.0001,0.061,7.87,0.00012
Pancreatitis,3,Female,0.47,30.27,<.0001,0.001,0.97,0.62
Diverticular disease of intestines,3,Both,0.062,9.8,0.00011,0.00028,-0.48,0.8
Diverticular disease of intestines,3,Female,0.1,10.87,<.0001,0.0022,1.07,0.47
Diverticular disease of intestines,3,Male,0.058,9.36,0.00018,0.0016,-1.16,0.54
Other digestive diseases (internal),3,Male,0.63,49.78,<.0001,0.25,16.59,<.0001
Other digestive diseases (internal),3,Female,0.5,41.78,<.0001,0.038,7.32,0.0025
Other digestive diseases (internal),3,Both,0.56,45.13,<.0001,0.088,10.12,<.0001
Neurological disorders,2,Female,0.59,31.95,<.0001,0.27,11.25,<.0001
Neurological disorders,2,Male,0.65,50.28,<.0001,0.42,23.04,<.0001
Neurological disorders,2,Both,0.64,40.92,<.0001,0.37,17.17,<.0001
Alzheimer's disease and other dementias,3,Female,0.091,4.9,<.0001,0.0057,0.37,0.25
Alzheimer's disease and other dementias,3,Both,0.07,4.24,<.0001,0.014,0.57,0.065
Alzheimer's disease and other dementias,3,Male,0.041,3.27,0.0017,0.033,0.85,0.0048
Parkinson's disease,3,Female,0.22,7.15,<.0001,0.05,1.61,0.00053
Parkinson's disease,3,Both,0.24,6.98,<.0001,0.096,2.28,<.0001
Parkinson's disease,3,Male,0.25,7.13,<.0001,0.19,3.62,<.0001
Idiopathic epilepsy,3,Both,0.67,62.96,<.0001,0.13,10.65,<.0001
Idiopathic epilepsy,3,Male,0.67,57.21,<.0001,0.088,7.99,<.0001
Idiopathic epilepsy,3,Female,0.67,70.55,<.0001,0.19,15,<.0001
Multiple sclerosis,3,Both,0.28,24.12,<.0001,0.032,6.26,0.0059
Multiple sclerosis,3,Female,0.32,28.87,<.0001,0.062,9.62,0.00011
Multiple sclerosis,3,Male,0.35,21.21,<.0001,0.038,4.95,0.0024
Motor neuron disease,3,Female,0.55,56.92,<.0001,0.27,26.46,<.0001
Motor neuron disease,3,Both,0.56,55.59,<.0001,0.29,26.85,<.0001
Motor neuron disease,3,Male,0.56,54.64,<.0001,0.31,27.69,<.0001
Other neurological disorders,3,Female,0.63,77.03,<.0001,0.31,34.76,<.0001
Other neurological disorders,3,Both,0.61,70.47,<.0001,0.25,27.94,<.0001
Other neurological disorders,3,Male,0.61,69.5,<.0001,0.26,28.53,<.0001
Mental disorders,2,Both,0.4,10.9,<.0001,0.019,1.84,0.032
Mental disorders,2,Male,0.51,10.53,<.0001,0.03,1.44,0.0078
Mental disorders,2,Female,0.37,11.43,<.0001,0.027,2.39,0.011
Eating disorders,3,Male,0.51,10.53,<.0001,0.03,1.44,0.0078
Eating disorders,3,Female,0.37,11.43,<.0001,0.027,2.39,0.011
Eating disorders,3,Both,0.4,10.9,<.0001,0.019,1.84,0.032
Substance use disorders,2,Male,0.088,8.98,<.0001,0.14,-9.35,<.0001
Substance use disorders,2,Both,0.14,11.08,<.0001,0.15,-9.3,<.0001
Substance use disorders,2,Female,0.24,18.89,<.0001,0.042,-6.16,0.0014
Alcohol use disorders,3,Both,0.3,17.55,<.0001,0.00012,0.22,0.87
Alcohol use disorders,3,Male,0.26,16.62,<.0001,0.0019,0.92,0.5
Alcohol use disorders,3,Female,0.35,20.41,<.0001,0.0025,-1.13,0.44
Drug use disorders,3,Male,0.019,4.02,0.031,0.19,-13.26,<.0001
Drug use disorders,3,Female,0.37,33.2,<.0001,0.042,8.45,0.0015
Drug use disorders,3,Both,0.099,9.48,<.0001,0.13,-10.4,<.0001
Diabetes and kidney diseases,2,Female,0.69,42.07,<.0001,0.44,17.2,<.0001
Diabetes and kidney diseases,2,Male,0.61,33.9,<.0001,0.36,13.15,<.0001
Diabetes and kidney diseases,2,Both,0.66,38.14,<.0001,0.4,15.09,<.0001
Diabetes mellitus,3,Male,0.54,23.88,<.0001,0.28,8.73,<.0001
Diabetes mellitus,3,Both,0.59,27.23,<.0001,0.35,10.55,<.0001
Diabetes mellitus,3,Female,0.61,30.42,<.0001,0.4,12.71,<.0001
Chronic kidney disease,3,Male,0.65,43.62,<.0001,0.33,16.02,<.0001
Chronic kidney disease,3,Both,0.69,47.97,<.0001,0.33,17.35,<.0001
Chronic kidney disease,3,Female,0.71,51.84,<.0001,0.33,18.76,<.0001
Acute glomerulonephritis,3,Both,0.53,58.58,<.0001,0.031,8.83,0.0066
Acute glomerulonephritis,3,Male,0.57,55.73,<.0001,0.085,11.62,<.0001
Acute glomerulonephritis,3,Female,0.53,61.32,<.0001,0.013,6.29,0.077
Skin and subcutaneous diseases,2,Male,0.69,62.84,<.0001,0.16,17.53,<.0001
Skin and subcutaneous diseases,2,Female,0.69,53.21,<.0001,0.0044,2.47,0.31
Skin and subcutaneous diseases,2,Both,0.7,57.06,<.0001,0.051,8.51,0.00046
Bacterial skin diseases,3,Female,0.69,59.16,<.0001,0.006,3.19,0.23
Bacterial skin diseases,3,Male,0.73,79.52,<.0001,0.3,29.48,<.0001
Bacterial skin diseases,3,Both,0.74,66.26,<.0001,0.095,12.62,<.0001
Decubitus ulcer,3,Male,0.43,34.19,<.0001,0.027,6.21,0.011
Decubitus ulcer,3,Female,0.38,30.49,<.0001,0.0024,1.78,0.45
Decubitus ulcer,3,Both,0.49,35.77,<.0001,0.041,7.21,0.0018
Other skin and subcutaneous diseases,3,Female,0.47,63.73,<.0001,0.00013,-0.7,0.86
Other skin and subcutaneous diseases,3,Both,0.48,59.33,<.0001,0.0025,2.83,0.45
Other skin and subcutaneous diseases,3,Male,0.63,104.85,<.0001,0.42,60.58,<.0001
Musculoskeletal disorders,2,Male,0.32,31.03,<.0001,0.018,4.38,0.04
Musculoskeletal disorders,2,Both,0.42,46.23,<.0001,0.086,13.68,<.0001
Musculoskeletal disorders,2,Female,0.41,49.43,<.0001,0.065,13.24,<.0001
Rheumatoid arthritis,3,Female,0.52,29.16,<.0001,0.24,11.47,<.0001
Rheumatoid arthritis,3,Male,0.082,12.42,<.0001,0.00055,0.76,0.72
Rheumatoid arthritis,3,Both,0.41,26.19,<.0001,0.19,10.86,<.0001
Other musculoskeletal disorders,3,Male,0.44,41.53,<.0001,0.064,9.47,<.0001
Other musculoskeletal disorders,3,Female,0.64,77.36,<.0001,0.33,34.46,<.0001
Other musculoskeletal disorders,3,Both,0.54,61.29,<.0001,0.18,22.38,<.0001
Other non-communicable diseases,2,Both,0.66,104.75,<.0001,0.055,11.83,0.00027
Other non-communicable diseases,2,Male,0.64,98.83,<.0001,0.051,11.22,0.00045
Other non-communicable diseases,2,Female,0.67,109.32,<.0001,0.059,12.87,0.00015
Congenital birth defects,3,Male,0.54,33.58,<.0001,0.32,19.59,<.0001
Congenital birth defects,3,Both,0.54,31.79,<.0001,0.32,18.14,<.0001
Congenital birth defects,3,Female,0.53,29.84,<.0001,0.32,16.57,<.0001
Urinary diseases and male infertility,3,Male,0.69,43.67,<.0001,0.25,13.85,<.0001
Urinary diseases and male infertility,3,Female,0.76,54.2,<.0001,0.3,18.58,<.0001
Urinary diseases and male infertility,3,Both,0.73,48.47,<.0001,0.25,15.42,<.0001
Gynecological diseases,3,Female,0.6,52.9,<.0001,0.25,19.2,<.0001
Gynecological diseases,3,Both,0.6,52.89,<.0001,0.29,20.9,<.0001
Hemoglobinopathies and hemolytic anemias,3,Male,0.62,77.11,<.0001,0.042,9.2,0.0014
Hemoglobinopathies and hemolytic anemias,3,Female,0.59,75.29,<.0001,0.00015,0.54,0.85
Hemoglobinopathies and hemolytic anemias,3,Both,0.61,76.42,<.0001,0.0099,4.39,0.12
"Endocrine, metabolic, blood, and immune disorders",3,Male,0.56,57.23,<.0001,0.0012,1.3,0.6
"Endocrine, metabolic, blood, and immune disorders",3,Both,0.58,59.14,<.0001,0.001,1.22,0.62
"Endocrine, metabolic, blood, and immune disorders",3,Female,0.59,61.87,<.0001,0.0064,3.07,0.22
Sudden infant death syndrome,3,Female,0.0093,0.03,0.14,0.0073,0.02,0.19
Sudden infant death syndrome,3,Male,0.026,-0.02,0.013,0.036,-0.02,0.0033
Sudden infant death syndrome,3,Both,0.0042,-0.01,0.32,0.0096,-0.01,0.13
Injuries,1,Male,0.64,53.15,<.0001,0.12,9.57,<.0001
Injuries,1,Female,0.67,79.2,<.0001,0.15,14.01,<.0001
Injuries,1,Both,0.65,61.68,<.0001,0.1,9.96,<.0001
Transport injuries,2,Both,0.62,37.7,<.0001,0.00045,0.41,0.74
Transport injuries,2,Male,0.62,34.11,<.0001,0.00054,0.42,0.72
Transport injuries,2,Female,0.61,48.6,<.0001,0.013,2.99,0.076
Road injuries,3,Male,0.61,34.01,<.0001,<.0001,0.12,0.92
Road injuries,3,Both,0.62,37.8,<.0001,0.00027,0.33,0.8
Road injuries,3,Female,0.61,48.88,<.0001,0.016,3.32,0.051
Other transport injuries,3,Male,0.6,33.34,<.0001,0.027,3,0.012
Other transport injuries,3,Both,0.63,36.88,<.0001,0.024,2.88,0.018
Other transport injuries,3,Female,0.6,53.77,<.0001,0.053,7.61,0.00036
Unintentional injuries,2,Female,0.68,95.28,<.0001,0.15,17.86,<.0001
Unintentional injuries,2,Male,0.7,73.3,<.0001,0.16,13.27,<.0001
Unintentional injuries,2,Both,0.69,81.94,<.0001,0.13,13.53,<.0001
Falls,3,Both,0.5,55.02,<.0001,0.055,9,0.00027
Falls,3,Male,0.52,54.03,<.0001,0.08,9.69,<.0001
Falls,3,Female,0.5,54.53,<.0001,0.088,12.93,<.0001
Drowning,3,Both,0.64,61.69,<.0001,0.045,6.72,0.001
Drowning,3,Male,0.64,56.56,<.0001,0.064,8.06,<.0001
Drowning,3,Female,0.59,76.56,<.0001,0.045,8.91,0.00097
"Fire, heat, and hot substances",3,Male,0.7,67.69,<.0001,0.099,7.39,<.0001
"Fire, heat, and hot substances",3,Female,0.65,83.15,<.0001,0.25,18.26,<.0001
"Fire, heat, and hot substances",3,Both,0.69,73.26,<.0001,0.15,10.31,<.0001
Poisonings,3,Both,0.64,56.5,<.0001,0.024,4.2,0.018
Poisonings,3,Male,0.62,47.25,<.0001,<.0001,-0.08,0.97
Poisonings,3,Female,0.63,74,<.0001,0.12,13.58,<.0001
Exposure to mechanical forces,3,Male,0.69,43.85,<.0001,0.17,9.63,<.0001
Exposure to mechanical forces,3,Female,0.54,66.05,<.0001,0.038,8.65,0.0025
Exposure to mechanical forces,3,Both,0.66,47.55,<.0001,0.1,7.53,<.0001
Adverse effects of medical treatment,3,Both,0.69,74.44,<.0001,0.024,4.93,0.016
Adverse effects of medical treatment,3,Male,0.62,68.09,<.0001,0.00067,-0.95,0.69
Adverse effects of medical treatment,3,Female,0.75,81.28,<.0001,0.17,12.22,<.0001
Animal contact,3,Both,0.53,60.79,<.0001,0.035,8.18,0.0039
Animal contact,3,Male,0.58,52.11,<.0001,0.00089,0.95,0.65
Animal contact,3,Female,0.48,75.54,<.0001,0.11,21.8,<.0001
Foreign body,3,Both,0.71,102.58,<.0001,0.098,15.23,<.0001
Foreign body,3,Female,0.64,108.88,<.0001,0.025,9.46,0.014
Foreign body,3,Male,0.74,98.8,<.0001,0.2,20.97,<.0001
Electrocution,3,Both,0.66,49.63,<.0001,0.25,18.53,<.0001
Electrocution,3,Male,0.64,39.42,<.0001,0.17,11.74,<.0001
Electrocution,3,Female,0.49,69,<.0001,0.28,42.31,<.0001
Environmental heat and cold exposure,3,Male,0.55,44.48,<.0001,0.24,16.66,<.0001
Environmental heat and cold exposure,3,Female,0.53,64,<.0001,0.18,23.74,<.0001
Environmental heat and cold exposure,3,Both,0.53,50.39,<.0001,0.17,16.92,<.0001
Exposure to forces of nature,3,Both,0.049,33.01,0.00057,0.078,-39.74,<.0001
Exposure to forces of nature,3,Male,0.053,36.19,0.00035,0.085,-43.98,<.0001
Exposure to forces of nature,3,Female,0.046,30.5,0.00089,0.068,-35.32,<.0001
Other unintentional injuries,3,Both,0.69,58.64,<.0001,0.3,17.55,<.0001
Other unintentional injuries,3,Female,0.66,78.78,<.0001,0.28,22.78,<.0001
Other unintentional injuries,3,Male,0.7,52.66,<.0001,0.31,16.67,<.0001
Self-harm and interpersonal violence,2,Female,0.52,43.41,<.0001,0.012,3.03,0.089
Self-harm and interpersonal violence,2,Male,0.49,35.31,<.0001,0.037,5.54,0.0027
Self-harm and interpersonal violence,2,Both,0.5,37.18,<.0001,0.023,4.16,0.019
Self-harm,3,Male,0.32,23.67,<.0001,0.082,-7.31,<.0001
Self-harm,3,Both,0.33,25.5,<.0001,0.11,-8.87,<.0001
Self-harm,3,Female,0.32,31.26,<.0001,0.072,-8.57,<.0001
Interpersonal violence,3,Both,0.57,34.1,<.0001,0.16,10.06,<.0001
Interpersonal violence,3,Female,0.58,43.26,<.0001,0.13,10.04,<.0001
Interpersonal violence,3,Male,0.55,30.98,<.0001,0.15,9.56,<.0001
Conflict and terrorism,3,Male,0.043,-15.86,0.0012,0.17,-33.48,<.0001
Conflict and terrorism,3,Both,0.032,-14.42,0.0056,0.17,-36.11,<.0001
Conflict and terrorism,3,Female,0.01,-9.9,0.12,0.2,-47.53,<.0001
Police conflict and executions,3,Female,0.33,44.66,<.0001,0.033,10.87,0.005
Police conflict and executions,3,Male,0.11,23.11,<.0001,0.012,7.18,0.088
Police conflict and executions,3,Both,0.19,29.14,<.0001,0.038,11.36,0.0027
