"Apppendix Table S13. Global, top 100 Causes by Age Standardised YLLs per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Leukemia,246.06 (210.29-276.68),150.07 (135.03-174.22),-39.01%,151.88 (134.07-176.28),1.2%,145.43 (128.02-168.15),-4.25%,-40.9%
Esophageal cancer,245.05 (204.18-271.19),140.86 (127.05-152.0),-42.52%,148.18 (131.86-162.99),5.2%,151.19 (134.99-170.68),2.03%,-38.3%
Total burden related to hepatitis C,244.61 (207.07-281.29),169.65 (147.3-196.16),-30.65%,166.12 (143.54-192.84),-2.08%,161.57 (138.3-187.64),-2.74%,-33.95%
Upper digestive system diseases,225.98 (178.63-279.08),90.55 (75.41-109.44),-59.93%,81.25 (66.1-99.58),-10.27%,77.74 (62.14-98.5),-4.32%,-65.6%
Acute hepatitis,224.81 (166.21-312.4),70.41 (48.73-96.25),-68.68%,70.54 (46.52-95.07),0.18%,69.02 (46.75-94.01),-2.16%,-69.3%
Asthma,212.48 (134.73-310.99),139.01 (100.79-197.18),-34.58%,127.2 (94.11-178.33),-8.5%,135.67 (96.09-194.82),6.66%,-36.15%
Cardiomyopathy and myocarditis,198.06 (162.83-242.49),138.1 (113.94-163.42),-30.27%,138.66 (113.21-166.55),0.4%,136.02 (109.72-166.47),-1.9%,-31.33%
Liver cancer,178.09 (158.53-205.08),143.52 (129.03-161.27),-19.41%,145.44 (127.67-165.44),1.34%,153.31 (132.36-178.29),5.41%,-13.91%
Cervical cancer,168.45 (132.66-221.39),131.92 (105.62-169.86),-21.68%,137.3 (107.27-176.12),4.07%,146.14 (111.47-190.66),6.44%,-13.25%
Paralytic ileus and intestinal obstruction,144.1 (114.1-177.64),91.49 (74.49-110.79),-36.51%,86.95 (69.19-106.11),-4.97%,87.67 (68.35-107.3),0.83%,-39.16%
Exposure to mechanical forces,140.3 (98.5-198.07),67.86 (47.45-102.08),-51.63%,66.09 (46.34-102.83),-2.61%,64.55 (45.18-100.23),-2.33%,-53.99%
Pancreatic cancer,132.96 (124.71-141.18),128.06 (120.62-134.61),-3.68%,130.66 (123.03-137.48),2.03%,132.35 (122.67-141.42),1.3%,-0.45%
"Fire, heat, and hot substances",128.27 (94.57-173.34),90.29 (61.78-125.32),-29.62%,96.1 (63.89-136.89),6.44%,97.68 (62.96-141.28),1.64%,-23.85%
Other unintentional injuries,127.75 (70.08-212.41),45.84 (27.09-73.14),-64.12%,45.47 (26.61-74.82),-0.81%,43.12 (25.47-72.63),-5.18%,-66.25%
