"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Serbia,Female,"5,655
(5,208 - 6,903)","17,446
(16,305 - 20,900)","5,491
(4,988 - 6,919)","1,550
(1,338 - 1,924)","30,143
(27,841 - 36,649)","123.5
(113.8 - 150.8)","384.9
(359.8 - 461.2)","122.3
(111.1 - 154.1)","34.8
(30.0 - 43.1)","166.4
(154.5 - 202.5)",,
         Serbia,Both Sex,"15,636
(14,893 - 17,193)","38,763
(37,151 - 42,943)","12,021
(11,251 - 13,538)","3,615
(3,227 - 4,119)","70,036
(66,523 - 77,794)","170.1
(162.0 - 187.1)","424.8
(407.1 - 470.6)","133.2
(124.7 - 150.0)","40.3
(36.0 - 45.9)","192.1
(183.7 - 213.0)",,
         Slovakia,Male,"3,086
(2,954 - 3,222)","10,188
(9,858 - 10,478)","2,771
(2,627 - 2,931)","323
(300 - 347)","16,369
(15,740 - 16,980)","115.9
(111.0 - 121.1)","383.3
(370.9 - 394.2)","104.5
(99.1 - 110.6)","12.2
(11.4 - 13.1)","154.0
(148.5 - 159.4)",,
         Slovakia,Female,"2,437
(2,204 - 2,774)","9,268
(8,610 - 10,158)","2,552
(2,305 - 2,965)","322
(283 - 381)","14,581
(13,404 - 16,279)","87.5
(79.1 - 99.5)","333.2
(309.5 - 365.1)","92.0
(83.1 - 106.8)","11.7
(10.2 - 13.8)","131.1
(120.9 - 146.0)",,
         Slovakia,Both Sex,"5,523
(5,220 - 5,907)","19,457
(18,572 - 20,361)","5,324
(4,959 - 5,728)","646
(591 - 712)","30,951
(29,344 - 32,709)","101.4
(95.8 - 108.4)","357.7
(341.4 - 374.3)","98.1
(91.4 - 105.5)","11.9
(10.9 - 13.1)","142.3
(134.7 - 150.4)",,
         Slovenia,Male,"1,687
(1,590 - 1,762)","1,640
(1,544 - 1,703)","737
(667 - 784)","351
(309 - 380)","4,417
(4,113 - 4,631)","161.0
(151.8 - 168.1)","155.6
(146.5 - 161.6)","69.7
(63.0 - 74.1)","33.0
(29.1 - 35.8)","104.8
(98.4 - 109.2)",,
         Slovenia,Female,"1,843
(1,607 - 1,982)","1,699
(1,461 - 1,827)","913
(764 - 995)","525
(430 - 591)","4,981
(4,265 - 5,396)","176.2
(153.7 - 189.5)","162.4
(139.7 - 174.6)","86.9
(72.8 - 94.8)","49.9
(40.9 - 56.1)","118.9
(102.0 - 127.7)",,
         Slovenia,Both Sex,"3,530
(3,198 - 3,734)","3,339
(3,009 - 3,523)","1,650
(1,445 - 1,764)","877
(745 - 959)","9,398
(8,399 - 9,982)","168.6
(152.7 - 178.3)","159.0
(143.2 - 167.7)","78.3
(68.5 - 83.6)","41.4
(35.2 - 45.4)","111.8
(100.2 - 118.2)",,
      Eastern Europe,Male,"164,675
(159,703 - 169,581)","352,851
(342,743 - 362,468)","122,298
(117,722 - 126,753)","10,900
(10,347 - 11,382)","650,725
(630,517 - 670,185)","167.1
(162.1 - 172.1)","359.5
(349.2 - 369.3)","125.1
(120.5 - 129.7)","11.3
(10.7 - 11.8)","165.8
(160.5 - 170.6)",,
      Eastern Europe,Female,"168,263
(157,325 - 174,659)","492,016
(465,316 - 508,641)","149,618
(138,140 - 157,938)","14,373
(12,838 - 15,361)","824,272
(773,620 - 856,600)","148.6
(138.9 - 154.2)","436.3
(412.6 - 451.1)","133.3
(123.1 - 140.7)","13.0
(11.6 - 13.9)","182.8
(171.5 - 189.4)",,
      Eastern Europe,Both Sex,"332,938
(317,448 - 341,715)","844,868
(809,831 - 865,865)","271,916
(255,829 - 282,143)","25,273
(23,188 - 26,579)","1,474,997
(1,406,297 - 1,516,303)","157.2
(149.9 - 161.4)","400.6
(384.0 - 410.6)","129.5
(121.8 - 134.4)","12.2
(11.2 - 12.8)","174.9
(166.9 - 179.7)",,
         Belarus,Male,"2,219
(2,113 - 2,311)","4,493
(4,243 - 4,716)","4,461
(4,171 - 4,766)","668
(611 - 725)","11,842
(11,140 - 12,519)","49.8
(47.4 - 51.9)","101.3
(95.6 - 106.3)","101.1
(94.5 - 108.0)","15.2
(13.9 - 16.5)","66.8
(63.6 - 69.8)",,
         Belarus,Female,"3,306
(3,023 - 3,537)","7,178
(6,510 - 7,617)","7,547
(6,722 - 8,291)","1,131
(1,002 - 1,293)","19,162
(17,259 - 20,739)","64.0
(58.5 - 68.5)","139.4
(126.5 - 148.0)","147.2
(131.1 - 161.7)","22.2
(19.6 - 25.3)","93.2
(84.2 - 99.8)",,
         Belarus,Both Sex,"5,525
(5,173 - 5,801)","11,671
(10,845 - 12,295)","12,008
(11,019 - 12,888)","1,800
(1,623 - 1,996)","31,005
(28,662 - 32,982)","57.4
(53.8 - 60.3)","121.8
(113.2 - 128.3)","125.9
(115.5 - 135.1)","19.0
(17.1 - 21.0)","81.0
(75.1 - 85.0)",,
         Estonia,Male,"340
(320 - 357)","1,149
(1,094 - 1,192)","656
(611 - 691)","57
(52 - 61)","2,203
(2,079 - 2,304)","54.1
(51.0 - 56.9)","181.8
(173.0 - 188.6)","103.0
(96.1 - 108.6)","8.9
(8.2 - 9.6)","87.0
(82.8 - 90.1)",,
         Estonia,Female,"314
(274 - 338)","1,242
(1,109 - 1,323)","754
(652 - 811)","62
(51 - 68)","2,373
(2,088 - 2,542)","45.0
(39.3 - 48.4)","177.2
(158.2 - 188.7)","107.1
(92.5 - 115.1)","8.7
(7.3 - 9.7)","84.5
(74.5 - 89.9)",,
         Estonia,Both Sex,"654
(596 - 692)","2,392
(2,217 - 2,504)","1,410
(1,270 - 1,494)","119
(104 - 127)","4,577
(4,189 - 4,819)","49.3
(44.9 - 52.1)","179.4
(166.2 - 187.8)","105.1
(94.7 - 111.4)","8.8
(7.7 - 9.4)","85.7
(78.5 - 89.5)",,
         Latvia,Male,"622
(593 - 646)","2,894
(2,789 - 2,970)","934
(890 - 981)","184
(171 - 200)","4,635
(4,445 - 4,798)","68.7
(65.5 - 71.3)","322.5
(310.9 - 331.0)","105.3
(100.3 - 110.6)","21.0
(19.6 - 22.8)","129.4
(124.4 - 132.9)",,
         Latvia,Female,"509
(460 - 539)","2,617
(2,396 - 2,748)","1,016
(915 - 1,097)","186
(162 - 205)","4,329
(3,935 - 4,590)","48.3
(43.7 - 51.2)","251.3
(230.2 - 263.9)","98.9
(89.1 - 106.7)","18.3
(16.0 - 20.2)","104.2
(95.0 - 109.9)",,
         Latvia,Both Sex,"1,131
(1,059 - 1,180)","5,511
(5,199 - 5,692)","1,950
(1,807 - 2,070)","370
(337 - 399)","8,964
(8,403 - 9,342)","57.8
(54.1 - 60.2)","284.3
(268.2 - 293.6)","101.9
(94.4 - 108.1)","19.6
(17.8 - 21.1)","115.9
(109.0 - 120.1)",,
         Lithuania,Male,"1,708
(1,644 - 1,761)","3,845
(3,718 - 3,948)","1,844
(1,760 - 1,929)","235
(219 - 248)","7,633
(7,343 - 7,887)","130.8
(125.9 - 134.9)","293.7
(283.9 - 301.5)","140.0
(133.6 - 146.5)","17.7
(16.5 - 18.7)","145.5
(141.1 - 149.1)",,
         Lithuania,Female,"1,342
(1,227 - 1,412)","4,089
(3,774 - 4,278)","2,025
(1,839 - 2,147)","253
(223 - 276)","7,710
(7,065 - 8,114)","88.4
(80.9 - 93.1)","270.5
(249.6 - 283.0)","134.2
(121.9 - 142.3)","16.8
(14.8 - 18.3)","127.5
(117.0 - 133.4)",,
         Lithuania,Both Sex,"3,050
(2,877 - 3,160)","7,934
(7,532 - 8,194)","3,869
(3,602 - 4,044)","489
(445 - 519)","15,344
(14,457 - 15,919)","108.0
(101.9 - 111.9)","281.2
(267.0 - 290.4)","136.9
(127.4 - 143.1)","17.2
(15.7 - 18.3)","135.9
(128.2 - 140.1)",,
         Republic of Moldova,Male,"4,915
(4,757 - 5,064)","7,542
(7,322 - 7,769)","1,397
(1,294 - 1,484)","234
(213 - 258)","14,089
(13,587 - 14,576)","279.3
(270.4 - 287.8)","432.3
(419.7 - 445.3)","80.7
(74.8 - 85.8)","13.6
(12.4 - 15.0)","201.5
(195.5 - 206.6)",,
         Republic of Moldova,Female,"5,359
(5,039 - 5,566)","8,791
(8,334 - 9,134)","1,813
(1,632 - 1,970)","321
(273 - 361)","16,285
(15,280 - 17,033)","278.1
(261.5 - 288.9)","459.6
(435.8 - 477.6)","95.5
(85.9 - 103.7)","17.0
(14.5 - 19.1)","212.6
(201.5 - 220.2)",,
         Republic of Moldova,Both Sex,"10,274
(9,840 - 10,573)","16,333
(15,769 - 16,740)","3,211
(2,949 - 3,418)","556
(487 - 607)","30,375
(29,046 - 31,340)","278.7
(266.9 - 286.8)","446.6
(431.2 - 457.7)","88.5
(81.2 - 94.2)","15.4
(13.5 - 16.8)","207.3
(199.4 - 212.7)",,
         Russian Federation,Male,"130,443
(126,208 - 134,393)","253,396
(245,865 - 260,156)","76,293
(73,442 - 79,100)","8,615
(8,165 - 9,025)","468,749
(453,681 - 482,676)","188.1
(182.0 - 193.8)","366.2
(355.3 - 376.0)","110.5
(106.4 - 114.6)","12.4
(11.8 - 13.0)","169.3
(163.9 - 174.2)",,
         Russian Federation,Female,"130,365
(121,572 - 135,673)","346,365
(326,338 - 359,189)","98,773
(90,007 - 104,066)","11,119
(9,919 - 11,932)","586,623
(547,837 - 610,861)","163.9
(152.8 - 170.6)","436.5
(411.2 - 452.6)","124.8
(113.8 - 131.5)","14.0
(12.5 - 15.0)","184.8
(172.6 - 192.3)",,
         Russian Federation,Both Sex,"260,808
(248,484 - 268,327)","599,761
(574,110 - 615,322)","175,067
(163,988 - 181,815)","19,734
(18,145 - 20,802)","1,055,373
(1,004,728 - 1,086,268)","175.2
(166.9 - 180.2)","403.7
(386.5 - 414.2)","118.2
(110.7 - 122.7)","13.3
(12.2 - 14.0)","177.6
(169.1 - 182.8)",,
         Ukraine,Male,"24,425
(23,390 - 25,436)","79,530
(76,682 - 82,340)","36,709
(34,423 - 39,081)","904
(829 - 986)","141,570
(135,326 - 147,844)","121.4
(116.3 - 126.5)","399.2
(384.9 - 413.3)","186.3
(174.7 - 198.4)","5.0
(4.6 - 5.5)","178.0
(171.3 - 185.3)",,
         Ukraine,Female,"27,067
(25,364 - 28,585)","121,732
(114,693 - 127,458)","37,687
(33,421 - 41,998)","1,298
(1,123 - 1,521)","187,786
(174,602 - 199,563)","116.0
(108.7 - 122.5)","527.2
(496.7 - 552.0)","164.8
(146.2 - 183.7)","6.1
(5.3 - 7.2)","203.5
(190.0 - 213.1)",,
         Ukraine,Both Sex,"51,493
(49,297 - 53,333)","201,263
(192,869 - 207,812)","74,397
(69,751 - 79,396)","2,203
(2,008 - 2,444)","329,356
(313,927 - 342,988)","118.5
(113.5 - 122.8)","467.9
(448.4 - 483.1)","174.8
(163.9 - 186.5)","5.6
(5.1 - 6.2)","191.7
(183.3 - 198.5)",,
   High-income,Male,"533,196
(496,385 - 553,805)","635,283
(598,270 - 656,438)","386,500
(355,456 - 403,693)","73,715
(65,971 - 78,263)","1,628,695
(1,516,084 - 1,692,200)","99.2
(92.3 - 103.0)","117.8
(111.0 - 121.7)","71.4
(65.7 - 74.6)","13.6
(12.1 - 14.4)","75.5
(70.3 - 78.4)",,
   High-income,Female,"472,575
(397,719 - 513,476)","519,133
(445,884 - 559,765)","372,194
(302,923 - 410,193)","71,709
(57,685 - 79,905)","1,435,612
(1,204,213 - 1,563,341)","85.2
(71.7 - 92.6)","93.3
(80.2 - 100.6)","66.7
(54.2 - 73.5)","12.8
(10.3 - 14.3)","64.5
(54.1 - 70.2)",,
   High-income,Both Sex,"1,005,771
(895,458 - 1,065,492)","1,154,417
(1,045,301 - 1,214,601)","758,694
(658,393 - 812,927)","145,424
(123,521 - 157,311)","3,064,308
(2,722,675 - 3,250,331)","92.1
(82.0 - 97.5)","105.4
(95.4 - 110.9)","69.0
(59.9 - 73.9)","13.2
(11.2 - 14.3)","69.9
(62.1 - 74.2)",,
      Australasia,Male,"686
(614 - 729)","971
(885 - 1,016)","7,617
(6,878 - 8,004)","201
(180 - 216)","9,477
(8,559 - 9,965)","4.5
(4.1 - 4.8)","6.3
(5.7 - 6.6)","48.7
(44.0 - 51.2)","1.3
(1.1 - 1.4)","15.2
(13.7 - 15.9)",,
      Australasia,Female,"655
(523 - 727)","625
(520 - 680)","7,972
(6,410 - 8,804)","198
(156 - 223)","9,452
(7,609 - 10,435)","4.2
(3.4 - 4.7)","4.0
(3.3 - 4.3)","49.9
(40.1 - 55.1)","1.2
(1.0 - 1.4)","14.8
(11.9 - 16.4)",,
      Australasia,Both Sex,"1,342
(1,139 - 1,452)","1,596
(1,404 - 1,693)","15,590
(13,302 - 16,731)","400
(336 - 437)","18,929
(16,183 - 20,314)","4.4
(3.7 - 4.8)","5.1
(4.5 - 5.4)","49.3
(42.1 - 52.9)","1.2
(1.1 - 1.4)","15.0
(12.8 - 16.1)",,
         Australia,Male,"578
(511 - 616)","875
(793 - 916)","6,133
(5,514 - 6,450)","167
(148 - 180)","7,754
(6,968 - 8,163)","4.6
(4.0 - 4.9)","6.8
(6.2 - 7.1)","46.9
(42.1 - 49.3)","1.3
(1.1 - 1.4)","14.9
(13.4 - 15.6)",,
         Australia,Female,"566
(444 - 632)","555
(459 - 606)","6,735
(5,397 - 7,444)","171
(132 - 191)","8,029
(6,434 - 8,875)","4.4
(3.4 - 4.9)","4.2
(3.5 - 4.6)","50.2
(40.3 - 55.5)","1.3
(1.0 - 1.4)","15.0
(12.0 - 16.6)",,
         Australia,Both Sex,"1,144
(956 - 1,247)","1,430
(1,252 - 1,520)","12,869
(10,927 - 13,888)","338
(281 - 370)","15,783
(13,418 - 17,028)","4.5
(3.7 - 4.9)","5.5
(4.8 - 5.8)","48.6
(41.2 - 52.4)","1.3
(1.0 - 1.4)","15.0
(12.7 - 16.1)",,
         New Zealand,Male,"108
(97 - 116)","95
(88 - 100)","1,483
(1,350 - 1,577)","34
(30 - 36)","1,722
(1,567 - 1,831)","4.3
(3.9 - 4.7)","3.8
(3.4 - 4.0)","58.1
(52.9 - 61.8)","1.3
(1.2 - 1.4)","16.9
(15.4 - 17.9)",,
         New Zealand,Female,"88
(75 - 97)","69
(61 - 75)","1,236
(1,033 - 1,367)","27
(22 - 30)","1,423
(1,193 - 1,571)","3.5
(3.0 - 3.9)","2.7
(2.4 - 2.9)","48.1
(40.2 - 53.2)","1.1
(0.9 - 1.2)","13.9
(11.6 - 15.2)",,
         New Zealand,Both Sex,"197
(174 - 213)","165
(149 - 175)","2,720
(2,385 - 2,914)","61
(53 - 67)","3,145
(2,764 - 3,371)","3.9
(3.5 - 4.3)","3.2
(2.9 - 3.4)","53.1
(46.6 - 56.9)","1.2
(1.0 - 1.3)","15.4
(13.5 - 16.4)",,
      High-income Asia Pacific,Male,"3,011
(2,763 - 3,172)","31,672
(28,560 - 33,435)","63,081
(57,156 - 66,569)","809
(719 - 860)","98,575
(89,200 - 104,038)","3.3
(3.0 - 3.5)","35.1
(31.6 - 37.0)","70.1
(63.5 - 74.0)","0.9
(0.8 - 1.0)","27.3
(24.7 - 28.9)",,
      High-income Asia Pacific,Female,"2,140
(1,618 - 2,460)","35,362
(25,336 - 41,324)","68,485
(50,025 - 79,140)","673
(471 - 789)","106,662
(77,451 - 123,715)","2.3
(1.7 - 2.6)","37.9
(27.1 - 44.3)","73.5
(53.7 - 85.0)","0.7
(0.5 - 0.9)","28.6
(20.8 - 33.2)",,
      High-income Asia Pacific,Both Sex,"5,151
(4,386 - 5,615)","67,034
(53,980 - 74,568)","131,567
(107,203 - 145,654)","1,483
(1,192 - 1,646)","205,237
(166,763 - 227,485)","2.8
(2.4 - 3.0)","36.5
(29.4 - 40.6)","71.8
(58.5 - 79.5)","0.8
(0.7 - 0.9)","28.0
(22.7 - 31.0)",,
         Brunei Darussalam,Male,"6
(4 - 7)","36
(27 - 44)","69
(53 - 87)","1
(0 - 1)","113
(87 - 141)","2.7
(2.1 - 3.3)","15.1
(11.7 - 18.8)","28.9
(22.3 - 36.3)","0.4
(0.4 - 0.5)","11.8
(9.1 - 14.7)",,
         Brunei Darussalam,Female,"2
(2 - 3)","19
(15 - 24)","34
(27 - 42)","0
(0 - 0)","57
(45 - 70)","1.3
(1.1 - 1.6)","9.2
(7.2 - 11.4)","15.9
(12.6 - 19.8)","0.2
(0.2 - 0.3)","6.7
(5.3 - 8.3)",,
         Brunei Darussalam,Both Sex,"9
(7 - 11)","55
(43 - 68)","103
(81 - 127)","1
(1 - 1)","170
(133 - 208)","2.0
(1.6 - 2.5)","12.3
(9.6 - 15.1)","22.8
(18.0 - 27.9)","0.3
(0.3 - 0.4)","9.4
(7.4 - 11.5)",,
         Japan,Male,"2,212
(2,009 - 2,343)","25,221
(22,477 - 26,744)","45,584
(40,715 - 48,396)","668
(593 - 715)","73,687
(65,794 - 78,199)","3.6
(3.3 - 3.8)","41.3
(36.8 - 43.8)","74.9
(66.9 - 79.6)","1.1
(1.0 - 1.2)","30.2
(27.0 - 32.0)",,
         Japan,Female,"1,433
(1,046 - 1,675)","28,629
(20,121 - 33,816)","48,029
(33,735 - 56,347)","524
(360 - 625)","78,616
(55,264 - 92,466)","2.2
(1.6 - 2.6)","44.4
(31.2 - 52.5)","74.7
(52.5 - 87.6)","0.8
(0.6 - 1.0)","30.5
(21.5 - 35.9)",,
         Japan,Both Sex,"3,646
(3,056 - 4,016)","53,850
(42,499 - 60,535)","93,614
(74,454 - 104,689)","1,192
(953 - 1,334)","152,304
(120,964 - 170,574)","2.9
(2.4 - 3.2)","42.9
(33.9 - 48.2)","74.8
(59.5 - 83.7)","1.0
(0.8 - 1.1)","30.4
(24.1 - 34.1)",,
         Singapore,Male,"65
(61 - 69)","823
(762 - 870)","1,408
(1,290 - 1,484)","19
(17 - 20)","2,317
(2,132 - 2,445)","2.3
(2.1 - 2.4)","28.3
(26.2 - 29.9)","48.5
(44.5 - 51.1)","0.7
(0.6 - 0.7)","19.9
(18.5 - 20.9)",,
         Singapore,Female,"30
(26 - 34)","530
(436 - 590)","1,241
(1,033 - 1,373)","11
(8 - 12)","1,813
(1,505 - 2,011)","1.1
(1.0 - 1.2)","19.1
(15.7 - 21.3)","44.7
(37.2 - 49.5)","0.4
(0.3 - 0.5)","16.3
(13.6 - 18.1)",,
         Singapore,Both Sex,"96
(87 - 103)","1,353
(1,200 - 1,455)","2,650
(2,327 - 2,831)","30
(26 - 33)","4,131
(3,641 - 4,423)","1.7
(1.5 - 1.8)","23.8
(21.1 - 25.6)","46.7
(41.0 - 49.9)","0.5
(0.5 - 0.6)","18.2
(16.1 - 19.4)",,
         Republic of Korea,Male,"726
(672 - 768)","5,590
(5,188 - 5,920)","16,018
(14,911 - 17,124)","120
(110 - 130)","22,456
(20,882 - 23,943)","2.8
(2.6 - 2.9)","21.4
(19.8 - 22.6)","61.5
(57.3 - 65.8)","0.5
(0.4 - 0.5)","21.5
(20.1 - 22.9)",,
         Republic of Korea,Female,"673
(521 - 762)","6,182
(4,755 - 7,137)","19,180
(15,204 - 21,875)","137
(101 - 163)","26,174
(20,582 - 29,939)","2.6
(2.0 - 2.9)","23.8
(18.3 - 27.5)","74.2
(58.8 - 84.6)","0.5
(0.4 - 0.6)","25.3
(19.9 - 28.8)",,
         Republic of Korea,Both Sex,"1,399
(1,204 - 1,526)","11,773
(10,066 - 12,917)","35,198
(30,264 - 38,588)","258
(215 - 292)","48,631
(41,751 - 53,325)","2.7
(2.3 - 2.9)","22.6
(19.3 - 24.8)","67.8
(58.3 - 74.3)","0.5
(0.4 - 0.6)","23.4
(20.1 - 25.6)",,
      High-income North America,Male,"238,313
(222,374 - 248,180)","287,158
(273,232 - 296,940)","141,133
(131,926 - 147,015)","29,651
(26,963 - 31,262)","696,256
(654,497 - 723,398)","130.5
(121.7 - 135.9)","156.7
(149.1 - 162.1)","76.6
(71.6 - 79.8)","16.0
(14.6 - 16.9)","95.0
(89.3 - 98.6)",,
      High-income North America,Female,"208,829
(178,913 - 226,066)","221,958
(199,028 - 236,006)","116,294
(101,220 - 125,687)","28,000
(23,119 - 31,073)","575,082
(502,281 - 618,833)","112.1
(96.0 - 121.3)","118.8
(106.5 - 126.3)","61.9
(53.9 - 66.9)","14.8
(12.3 - 16.5)","76.9
(67.2 - 82.8)",,
      High-income North America,Both Sex,"447,142
(401,369 - 472,565)","509,117
(471,916 - 530,683)","257,427
(233,255 - 271,815)","57,652
(49,766 - 62,130)","1,271,339
(1,156,309 - 1,337,194)","121.2
(108.8 - 128.1)","137.6
(127.5 - 143.4)","69.2
(62.7 - 73.1)","15.4
(13.3 - 16.6)","85.8
(78.1 - 90.3)",,
         Canada,Male,"8,857
(8,058 - 9,297)","10,316
(9,609 - 10,713)","14,177
(13,031 - 14,807)","1,384
(1,228 - 1,494)","34,736
(31,928 - 36,312)","47.9
(43.6 - 50.3)","55.3
(51.5 - 57.4)","75.4
(69.3 - 78.7)","7.3
(6.5 - 7.9)","46.5
(42.6 - 48.5)",,
         Canada,Female,"9,066
(7,527 - 9,886)","6,851
(5,901 - 7,385)","11,570
(9,779 - 12,550)","1,399
(1,140 - 1,578)","28,888
(24,348 - 31,401)","47.7
(39.6 - 52.0)","35.8
(30.8 - 38.6)","59.9
(50.6 - 65.0)","7.2
(5.9 - 8.1)","37.7
(31.7 - 40.9)",,
         Canada,Both Sex,"17,923
(15,606 - 19,121)","17,168
(15,530 - 18,065)","25,748
(22,873 - 27,296)","2,784
(2,385 - 3,051)","63,624
(56,396 - 67,535)","47.8
(41.6 - 51.0)","45.4
(41.1 - 47.8)","67.5
(60.0 - 71.6)","7.2
(6.2 - 7.9)","42.0
(37.2 - 44.5)",,
         Greenland,Male,"21
(15 - 26)","28
(21 - 36)","13
(9 - 16)","3
(2 - 4)","66
(49 - 83)","71.2
(52.8 - 89.6)","96.6
(72.4 - 121.4)","43.9
(33.2 - 56.5)","10.9
(8.1 - 14.3)","55.7
(42.2 - 69.8)",,
         Greenland,Female,"11
(8 - 14)","14
(11 - 19)","6
(5 - 8)","1
(1 - 2)","34
(26 - 44)","42.0
(31.7 - 54.7)","55.3
(42.6 - 71.5)","25.6
(19.7 - 33.6)","6.1
(4.5 - 8.0)","32.3
(24.7 - 42.2)",,
         Greenland,Both Sex,"32
(24 - 40)","43
(33 - 54)","19
(15 - 25)","4
(3 - 6)","100
(76 - 127)","57.4
(43.3 - 72.6)","77.1
(58.9 - 97.0)","35.2
(26.9 - 45.5)","8.7
(6.5 - 11.3)","44.6
(34.2 - 56.5)",,
         United States of America,Male,"229,431
(214,254 - 239,002)","276,809
(263,438 - 286,252)","126,940
(118,836 - 132,432)","28,262
(25,736 - 29,813)","661,443
(622,266 - 687,499)","139.8
(130.5 - 145.6)","168.3
(160.1 - 174.0)","76.8
(71.9 - 80.1)","17.0
(15.5 - 17.9)","100.5
(94.6 - 104.3)",,
         United States of America,Female,"199,748
(171,423 - 216,035)","215,088
(193,111 - 228,655)","104,715
(91,434 - 112,957)","26,599
(21,949 - 29,551)","546,151
(477,919 - 587,199)","119.4
(102.4 - 129.1)","128.3
(115.2 - 136.4)","62.2
(54.3 - 67.1)","15.7
(13.0 - 17.5)","81.4
(71.2 - 87.5)",,
         United States of America,Both Sex,"429,180
(385,668 - 453,417)","491,897
(456,434 - 512,560)","231,655
(210,470 - 244,347)","54,862
(47,372 - 59,101)","1,207,595
(1,099,946 - 1,269,427)","129.5
(116.4 - 136.8)","148.1
(137.4 - 154.3)","69.4
(63.1 - 73.2)","16.4
(14.1 - 17.6)","90.8
(82.7 - 95.5)",,
      Southern Latin America,Male,"44,069
(42,732 - 44,992)","76,264
(74,281 - 77,757)","18,353
(17,467 - 18,867)","7,839
(7,337 - 8,225)","146,525
(141,819 - 149,843)","131.8
(127.8 - 134.5)","226.6
(220.7 - 231.1)","54.2
(51.6 - 55.7)","23.0
(21.6 - 24.2)","108.9
(105.6 - 111.2)",,
      Southern Latin America,Female,"33,367
(30,423 - 34,966)","57,644
(53,699 - 59,899)","16,581
(14,655 - 17,618)","6,583
(5,775 - 7,159)","114,177
(104,553 - 119,643)","94.5
(86.2 - 99.1)","162.2
(151.1 - 168.5)","46.3
(40.9 - 49.2)","18.3
(16.0 - 19.9)","80.3
(73.4 - 84.0)",,
      Southern Latin America,Both Sex,"77,436
(73,199 - 79,840)","133,909
(128,120 - 137,152)","34,934
(32,122 - 36,410)","14,422
(13,199 - 15,256)","260,703
(246,642 - 268,660)","112.6
(106.5 - 116.1)","193.5
(185.1 - 198.2)","50.1
(46.1 - 52.2)","20.6
(18.8 - 21.8)","94.2
(89.2 - 96.9)",,
         Argentina,Male,"30,997
(30,068 - 31,798)","54,869
(53,531 - 56,127)","8,530
(8,166 - 8,867)","5,741
(5,340 - 6,077)","100,139
(97,107 - 102,870)","137.3
(133.2 - 140.9)","241.7
(235.8 - 247.3)","37.4
(35.8 - 38.8)","25.0
(23.2 - 26.5)","110.4
(106.9 - 113.1)",,
         Argentina,Female,"23,337
(21,473 - 24,507)","40,936
(38,353 - 42,583)","7,647
(6,879 - 8,121)","4,820
(4,250 - 5,281)","76,741
(70,957 - 80,493)","97.3
(89.5 - 102.2)","169.4
(158.7 - 176.2)","31.4
(28.3 - 33.4)","19.7
(17.3 - 21.5)","79.4
(73.6 - 83.0)",,
         Argentina,Both Sex,"54,335
(51,696 - 56,049)","95,805
(92,376 - 98,219)","16,177
(15,087 - 16,923)","10,561
(9,695 - 11,255)","176,880
(168,856 - 182,448)","116.7
(111.0 - 120.4)","204.5
(197.1 - 209.6)","34.3
(32.0 - 35.9)","22.2
(20.4 - 23.7)","94.4
(90.3 - 97.1)",,
         Chile,Male,"12,620
(12,162 - 12,941)","17,136
(16,520 - 17,462)","8,803
(8,282 - 9,112)","1,945
(1,788 - 2,046)","40,506
(38,754 - 41,562)","136.7
(131.7 - 140.2)","184.0
(177.4 - 187.5)","93.6
(88.0 - 96.9)","20.6
(19.0 - 21.7)","108.7
(104.0 - 111.1)",,
         Chile,Female,"9,672
(8,750 - 10,199)","13,678
(12,410 - 14,335)","8,069
(6,986 - 8,653)","1,632
(1,369 - 1,774)","33,053
(29,516 - 34,964)","101.6
(91.9 - 107.1)","142.5
(129.3 - 149.3)","83.2
(72.1 - 89.3)","16.8
(14.1 - 18.3)","86.0
(77.0 - 90.8)",,
         Chile,Both Sex,"22,292
(20,882 - 23,102)","30,814
(28,888 - 31,748)","16,873
(15,328 - 17,711)","3,578
(3,170 - 3,813)","73,559
(68,269 - 76,376)","118.9
(111.4 - 123.2)","162.9
(152.7 - 167.9)","88.3
(80.2 - 92.7)","18.7
(16.6 - 19.9)","97.2
(90.3 - 100.7)",,
         Uruguay,Male,"448
(428 - 469)","4,254
(4,117 - 4,368)","1,017
(969 - 1,062)","151
(142 - 160)","5,873
(5,658 - 6,061)","27.3
(26.1 - 28.6)","259.7
(251.3 - 266.6)","62.3
(59.4 - 65.0)","9.3
(8.8 - 9.9)","89.7
(86.7 - 92.1)",,
         Uruguay,Female,"356
(321 - 381)","3,026
(2,776 - 3,193)","864
(756 - 930)","129
(113 - 141)","4,376
(3,967 - 4,647)","19.9
(18.0 - 21.4)","169.6
(155.6 - 178.9)","48.5
(42.5 - 52.2)","7.3
(6.4 - 8.0)","61.3
(55.8 - 65.0)",,
         Uruguay,Both Sex,"805
(753 - 849)","7,281
(6,908 - 7,519)","1,881
(1,730 - 1,980)","281
(257 - 299)","10,250
(9,650 - 10,649)","23.5
(22.0 - 24.8)","212.7
(201.8 - 219.7)","55.1
(50.7 - 58.0)","8.3
(7.6 - 8.8)","74.9
(70.8 - 77.6)",,
