"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Georgia,Both Sex,"4,457
(4,230 - 4,656)","14,552
(13,922 - 15,099)","4,150
(3,832 - 4,413)","592
(534 - 643)","23,753
(22,519 - 24,812)","121.2
(115.0 - 126.6)","399.6
(382.3 - 414.7)","115.1
(106.3 - 122.4)","16.5
(14.9 - 18.0)","163.1
(155.1 - 169.3)",,
         Kazakhstan,Male,"12,755
(12,340 - 13,076)","23,525
(22,884 - 24,102)","5,858
(5,533 - 6,182)","1,045
(956 - 1,118)","43,184
(41,715 - 44,480)","135.1
(130.7 - 138.5)","244.9
(238.2 - 250.9)","59.9
(56.6 - 63.2)","10.5
(9.6 - 11.2)","112.6
(109.4 - 115.5)",,
         Kazakhstan,Female,"8,950
(7,930 - 9,486)","19,783
(17,738 - 20,901)","5,003
(4,378 - 5,470)","939
(788 - 1,046)","34,677
(30,835 - 36,905)","89.8
(79.5 - 95.1)","195.3
(175.1 - 206.3)","48.6
(42.6 - 53.2)","9.0
(7.5 - 10.0)","85.7
(76.5 - 90.5)",,
         Kazakhstan,Both Sex,"21,706
(20,555 - 22,502)","43,308
(41,123 - 44,719)","10,862
(10,090 - 11,459)","1,984
(1,805 - 2,137)","77,862
(73,575 - 80,819)","111.8
(105.9 - 115.9)","219.4
(208.4 - 226.6)","54.1
(50.3 - 57.1)","9.7
(8.9 - 10.5)","98.8
(93.5 - 102.2)",,
         Kyrgyzstan,Male,"6,885
(6,701 - 7,077)","4,950
(4,816 - 5,074)","1,314
(1,225 - 1,404)","182
(167 - 197)","13,332
(12,910 - 13,754)","201.8
(196.4 - 207.5)","142.7
(138.8 - 146.3)","37.3
(34.7 - 39.8)","5.1
(4.7 - 5.5)","96.7
(94.7 - 98.7)",,
         Kyrgyzstan,Female,"5,726
(5,502 - 5,915)","4,915
(4,747 - 5,092)","1,365
(1,268 - 1,475)","179
(163 - 196)","12,187
(11,682 - 12,679)","164.0
(157.5 - 169.4)","138.5
(133.8 - 143.5)","37.9
(35.2 - 40.9)","4.9
(4.5 - 5.4)","86.3
(83.6 - 88.9)",,
         Kyrgyzstan,Both Sex,"12,611
(12,278 - 12,897)","9,866
(9,634 - 10,136)","2,680
(2,530 - 2,831)","361
(336 - 388)","25,520
(24,781 - 26,254)","182.7
(177.9 - 186.8)","140.6
(137.3 - 144.4)","37.6
(35.5 - 39.7)","5.0
(4.6 - 5.4)","91.5
(89.6 - 93.3)",,
         Mongolia,Male,"200
(182 - 214)","1,131
(1,041 - 1,200)","141
(126 - 156)","30
(26 - 34)","1,503
(1,377 - 1,605)","12.3
(11.2 - 13.2)","68.3
(62.9 - 72.5)","8.4
(7.6 - 9.3)","1.8
(1.6 - 2.0)","22.7
(20.9 - 24.1)",,
         Mongolia,Female,"168
(152 - 180)","1,229
(1,128 - 1,310)","137
(121 - 153)","29
(24 - 33)","1,564
(1,426 - 1,677)","10.1
(9.2 - 10.8)","72.4
(66.4 - 77.2)","8.0
(7.0 - 8.9)","1.7
(1.4 - 1.9)","23.0
(21.0 - 24.6)",,
         Mongolia,Both Sex,"368
(342 - 389)","2,360
(2,224 - 2,481)","278
(255 - 303)","60
(53 - 66)","3,068
(2,875 - 3,240)","11.2
(10.4 - 11.8)","70.4
(66.3 - 74.0)","8.2
(7.5 - 8.9)","1.7
(1.5 - 1.9)","22.9
(21.5 - 24.0)",,
