"Appendix Table S12. Global, top 100 causes by age-standardised death rate per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
HIV/AIDS,6.6 (6.0-7.24),11.29 (10.15-12.72),70.98%,10.31 (9.06-11.86),-8.71%,9.88 (8.64-11.34),-4.12%,49.66%
Prostate cancer,6.31 (5.68-6.87),5.24 (4.61-5.8),-17.01%,5.32 (4.71-5.92),1.43%,5.29 (4.65-5.92),-0.49%,-16.23%
Liver cancer,6.04 (5.41-6.82),5.28 (4.81-5.83),-12.57%,5.33 (4.81-5.96),0.82%,5.59 (4.87-6.28),4.97%,-7.47%
Leukemia,5.94 (5.29-6.53),4.15 (3.77-4.69),-30.14%,4.1 (3.73-4.64),-1.26%,3.97 (3.55-4.45),-3.16%,-33.2%
Pancreatic cancer,5.84 (5.42-6.19),5.87 (5.41-6.2),0.49%,5.96 (5.51-6.31),1.64%,6.07 (5.5-6.47),1.74%,3.92%
Typhoid and paratyphoid,5.54 (2.91-8.94),1.35 (0.71-2.16),-75.72%,1.28 (0.66-2.09),-5.16%,1.14 (0.6-1.86),-10.46%,-79.38%
Cervical cancer,5.11 (4.07-6.52),3.82 (3.08-4.84),-25.24%,3.94 (3.13-4.98),3.14%,4.13 (3.25-5.31),4.84%,-19.17%
Tetanus,4.94 (3.59-6.38),0.36 (0.22-0.56),-92.7%,0.32 (0.2-0.49),-10.37%,0.27 (0.16-0.41),-17.64%,-94.61%
Pertussis,4.61 (2.4-8.08),1.88 (1.09-3.05),-59.19%,0.82 (0.46-1.32),-56.35%,1.79 (1.03-2.94),118.03%,-61.17%
Parkinson's disease,4.27 (3.9-4.68),4.6 (4.14-5.06),7.66%,4.76 (4.29-5.23),3.47%,4.85 (4.29-5.34),1.83%,13.43%
Atrial fibrillation and flutter,4.18 (3.67-4.5),4.24 (3.63-4.67),1.46%,4.36 (3.71-4.83),2.88%,4.41 (3.71-4.96),1.12%,5.55%
Paralytic ileus and intestinal obstruction,4.02 (3.31-4.78),3.05 (2.59-3.51),-24.21%,2.86 (2.39-3.32),-6.27%,2.86 (2.37-3.37),0.21%,-28.81%
Urinary diseases and male infertility,3.85 (3.44-4.35),4.5 (4.06-4.9),16.8%,4.39 (4.01-4.75),-2.38%,4.53 (4.07-4.97),3.25%,17.73%
Acute hepatitis,3.85 (2.88-5.21),1.17 (0.83-1.53),-69.65%,1.17 (0.81-1.54),0.17%,1.17 (0.82-1.57),0.47%,-69.46%
Other cardiovascular and circulatory diseases,3.69 (3.13-4.45),2.92 (2.48-3.48),-20.87%,2.99 (2.46-3.52),2.37%,3.05 (2.49-3.64),1.94%,-17.43%
Other malignant neoplasms,3.68 (3.32-4.13),2.63 (2.35-2.97),-28.51%,2.63 (2.33-2.99),-0.01%,2.56 (2.23-2.84),-2.76%,-30.49%
Non-Hodgkin lymphoma,3.61 (3.27-3.95),3.24 (2.87-3.63),-10.12%,3.24 (2.85-3.67),-0.11%,3.2 (2.79-3.62),-1.34%,-11.43%
Bladder cancer,3.43 (3.17-3.68),2.58 (2.32-2.82),-24.6%,2.59 (2.33-2.82),0.39%,2.61 (2.32-2.88),0.67%,-23.8%
Brain and central nervous system cancer,3.17 (2.72-3.6),3.04 (2.72-3.64),-4.05%,3.06 (2.72-3.68),0.82%,2.98 (2.61-3.54),-2.63%,-5.8%
Gallbladder and biliary tract cancer,2.73 (2.51-3.02),2.0 (1.76-2.31),-26.86%,2.01 (1.78-2.35),0.68%,2.03 (1.77-2.43),1.13%,-25.53%
Ovarian cancer,2.69 (2.44-2.93),2.3 (2.05-2.62),-14.42%,2.37 (2.08-2.7),2.84%,2.44 (2.11-2.81),2.97%,-9.38%
Exposure to mechanical forces,2.59 (1.85-3.6),1.31 (0.93-1.86),-49.44%,1.28 (0.91-1.88),-2.23%,1.25 (0.89-1.82),-2.26%,-51.69%
Aortic aneurysm,2.54 (2.33-2.76),1.85 (1.62-2.05),-27.04%,1.84 (1.62-2.06),-0.71%,1.87 (1.64-2.1),1.95%,-26.15%
Alcohol use disorders,2.52 (2.26-2.84),1.88 (1.69-2.14),-25.23%,2.0 (1.78-2.31),6.47%,1.92 (1.73-2.21),-4.06%,-23.63%
"Fire, heat, and hot substances",2.49 (1.95-3.19),1.74 (1.25-2.29),-29.86%,1.82 (1.27-2.44),4.11%,1.86 (1.26-2.56),2.55%,-25.11%
Lip and oral cavity cancer,2.44 (2.18-2.82),2.34 (2.07-2.72),-3.96%,2.52 (2.21-2.93),7.8%,2.48 (2.18-2.89),-1.65%,1.82%
Non-rheumatic valvular heart disease,2.43 (2.08-2.71),2.31 (1.93-2.6),-4.73%,2.2 (1.85-2.46),-4.81%,2.22 (1.81-2.49),0.74%,-8.64%
Adverse effects of medical treatment,2.33 (1.91-2.93),1.34 (1.08-1.69),-42.53%,1.25 (1.0-1.57),-6.78%,1.22 (1.0-1.55),-2.1%,-47.56%
Other unintentional injuries,2.32 (1.33-3.8),0.84 (0.51-1.32),-63.74%,0.84 (0.5-1.35),-0.49%,0.8 (0.48-1.29),-5.14%,-65.77%
Hemoglobinopathies and hemolytic anemias,2.3 (1.76-3.28),1.72 (1.13-2.86),-25.04%,1.67 (1.07-2.84),-2.86%,1.65 (1.06-2.78),-1.42%,-28.22%
Idiopathic epilepsy,2.12 (1.54-2.73),1.83 (1.47-2.31),-13.91%,1.92 (1.52-2.5),5.22%,1.96 (1.53-2.52),1.99%,-7.61%
