"Appendix Table S3. Top causes containing misclassified COVID-19 (reported) by location, 2020-2022",,,,
Location Name,Cause Name,Amount of miscoded Covid deaths,Percent of total miscoded Covid deaths,Percent of total Covid (miscoded and reported)
Mexico,Ischemic heart disease,121757,47.7%,16.6%
Mexico,Diabetes mellitus,62766,24.6%,8.5%
Mexico,Lower respiratory infections,49248,19.3%,6.7%
Mexico,"Endocrine, metabolic, blood, and immune disorders",4708,1.8%,0.6%
Mexico,Chronic kidney disease,4335,1.7%,0.6%
Mexico,Parkinson's disease,2484,1.0%,0.3%
Mexico,Hypertensive heart disease,2479,1.0%,0.3%
Mexico,All Remaining Causes,2314,0.9%,0.3%
Mexico,Stroke,2125,0.8%,0.3%
Mexico,Upper digestive system diseases,2106,0.8%,0.3%
Mexico,Prostate cancer,1023,0.4%,0.1%
Micronesia (Federated States of),Lower respiratory infections,8,37.4%,17.4%
Micronesia (Federated States of),Chronic kidney disease,7,32.8%,15.2%
Micronesia (Federated States of),Stroke,4,17.4%,8.1%
Micronesia (Federated States of),Atrial fibrillation and flutter,2,7.3%,3.4%
Micronesia (Federated States of),Colon and rectum cancer,1,2.7%,1.2%
Micronesia (Federated States of),Larynx cancer,0,1.8%,0.8%
Micronesia (Federated States of),Other neglected tropical diseases,0,0.4%,0.2%
Micronesia (Federated States of),Thyroid cancer,0,0.2%,0.1%
Micronesia (Federated States of),Malignant skin melanoma,0,0.1%,0.1%
Micronesia (Federated States of),Inflammatory bowel disease,0,0.0%,0.0%
Micronesia (Federated States of),All Remaining Causes,0,0.0%,0.0%
Mongolia,Lower respiratory infections,199,32.0%,7.1%
Mongolia,Stroke,127,20.4%,4.6%
Mongolia,Ischemic heart disease,67,10.8%,2.4%
Mongolia,All Remaining Causes,60,9.7%,2.2%
Mongolia,Hypertensive heart disease,55,8.9%,2.0%
Mongolia,Diabetes mellitus,46,7.4%,1.7%
Mongolia,Cirrhosis and other chronic liver diseases,19,3.0%,0.7%
Mongolia,Breast cancer,17,2.7%,0.6%
Mongolia,Asthma,12,1.9%,0.4%
Mongolia,Upper digestive system diseases,10,1.6%,0.4%
Mongolia,Parkinson's disease,10,1.5%,0.3%
Netherlands,Atrial fibrillation and flutter,444,34.4%,0.9%
Netherlands,Urinary diseases and male infertility,206,15.9%,0.4%
Netherlands,All Remaining Causes,168,13.0%,0.3%
Netherlands,Stroke,162,12.6%,0.3%
Netherlands,Other digestive diseases (internal),56,4.4%,0.1%
Netherlands,Non-rheumatic valvular heart disease,50,3.9%,0.1%
Netherlands,Decubitus ulcer,46,3.5%,0.1%
Netherlands,Mesothelioma,45,3.5%,0.1%
Netherlands,Idiopathic epilepsy,41,3.2%,0.1%
Netherlands,Gallbladder and biliary tract cancer,37,2.9%,0.1%
Netherlands,Soft tissue and other extraosseous sarcomas,36,2.8%,0.1%
Nicaragua,Ischemic heart disease,5777,41.2%,40.6%
Nicaragua,Diabetes mellitus,3046,21.7%,21.4%
Nicaragua,Lower respiratory infections,2396,17.1%,16.8%
Nicaragua,Chronic kidney disease,1178,8.4%,8.3%
Nicaragua,Hypertensive heart disease,433,3.1%,3.0%
Nicaragua,All Remaining Causes,425,3.0%,3.0%
Nicaragua,Chronic obstructive pulmonary disease,204,1.5%,1.4%
Nicaragua,Other cardiovascular and circulatory diseases,184,1.3%,1.3%
Nicaragua,Prostate cancer,177,1.3%,1.2%
Nicaragua,Parkinson's disease,105,0.8%,0.7%
Nicaragua,Interstitial lung disease and pulmonary sarcoidosis,93,0.7%,0.7%
North Macedonia,Ischemic heart disease,872,34.2%,7.0%
North Macedonia,Diabetes mellitus,721,28.3%,5.8%
North Macedonia,Lower respiratory infections,371,14.6%,3.0%
North Macedonia,Chronic kidney disease,175,6.9%,1.4%
North Macedonia,Parkinson's disease,109,4.3%,0.9%
North Macedonia,All Remaining Causes,106,4.1%,0.9%
North Macedonia,Stroke,62,2.4%,0.5%
North Macedonia,Atrial fibrillation and flutter,53,2.1%,0.4%
North Macedonia,"Endocrine, metabolic, blood, and immune disorders",36,1.4%,0.3%
North Macedonia,Non-rheumatic valvular heart disease,22,0.9%,0.2%
North Macedonia,Interstitial lung disease and pulmonary sarcoidosis,22,0.8%,0.2%
Northern Mariana Islands,Ischemic heart disease,10,27.2%,15.2%
Northern Mariana Islands,All Remaining Causes,5,12.8%,7.2%
Northern Mariana Islands,Colon and rectum cancer,4,11.4%,6.4%
Northern Mariana Islands,Stroke,4,10.5%,5.9%
Northern Mariana Islands,Diabetes mellitus,3,7.6%,4.2%
Northern Mariana Islands,Pancreatic cancer,3,6.9%,3.9%
Northern Mariana Islands,"Endocrine, metabolic, blood, and immune disorders",2,5.7%,3.2%
Northern Mariana Islands,Breast cancer,2,4.9%,2.8%
Northern Mariana Islands,Atrial fibrillation and flutter,2,4.7%,2.6%
Northern Mariana Islands,Alzheimer's disease and other dementias,2,4.4%,2.5%
Northern Mariana Islands,Other digestive diseases (internal),1,3.9%,2.2%
Norway,Hypertensive heart disease,622,23.6%,9.0%
Norway,Chronic kidney disease,600,22.7%,8.7%
Norway,Diabetes mellitus,400,15.2%,5.8%
Norway,All Remaining Causes,341,12.9%,4.9%
Norway,Ischemic heart disease,293,11.1%,4.2%
Norway,Diarrheal diseases,122,4.6%,1.8%
Norway,Other malignant neoplasms,71,2.7%,1.0%
Norway,Lower respiratory infections,56,2.1%,0.8%
Norway,"Tracheal, bronchus, and lung cancer",55,2.1%,0.8%
Norway,Stroke,40,1.5%,0.6%
Norway,Liver cancer,39,1.5%,0.6%
Oman,Alzheimer's disease and other dementias,60,27.8%,0.8%
Oman,Chronic kidney disease,37,17.2%,0.5%
Oman,Breast cancer,29,13.4%,0.4%
Oman,Hypertensive heart disease,23,10.5%,0.3%
Oman,Parkinson's disease,18,8.2%,0.2%
Oman,All Remaining Causes,14,6.4%,0.2%
Oman,Leukemia,12,5.4%,0.2%
Oman,Gallbladder and biliary diseases,7,3.1%,0.1%
Oman,Bladder cancer,6,2.8%,0.1%
Oman,"Endocrine, metabolic, blood, and immune disorders",6,2.8%,0.1%
Oman,Other unspecified infectious diseases,5,2.4%,0.1%
Palestine,Chronic kidney disease,289,67.9%,4.9%
Palestine,Interstitial lung disease and pulmonary sarcoidosis,47,11.1%,0.8%
Palestine,Hypertensive heart disease,25,6.0%,0.4%
Palestine,All Remaining Causes,18,4.2%,0.3%
Palestine,Larynx cancer,10,2.3%,0.2%
Palestine,Chronic obstructive pulmonary disease,10,2.3%,0.2%
Palestine,Pancreatic cancer,7,1.6%,0.1%
Palestine,Idiopathic epilepsy,6,1.3%,0.1%
Palestine,Multiple myeloma,6,1.3%,0.1%
Palestine,Stomach cancer,4,1.0%,0.1%
Palestine,Parkinson's disease,4,1.0%,0.1%
Paraguay,Lower respiratory infections,1444,53.8%,6.6%
Paraguay,Diabetes mellitus,445,16.6%,2.0%
Paraguay,Ischemic heart disease,393,14.6%,1.8%
Paraguay,"Endocrine, metabolic, blood, and immune disorders",79,2.9%,0.4%
Paraguay,Stomach cancer,76,2.8%,0.3%
Paraguay,All Remaining Causes,61,2.3%,0.3%
Paraguay,Alzheimer's disease and other dementias,50,1.9%,0.2%
Paraguay,Parkinson's disease,48,1.8%,0.2%
Paraguay,Bacterial skin diseases,41,1.5%,0.2%
Paraguay,Vascular intestinal disorders,27,1.0%,0.1%
Paraguay,Atrial fibrillation and flutter,20,0.8%,0.1%
Peru,Ischemic heart disease,9380,64.4%,8.5%
Peru,Diabetes mellitus,1956,13.4%,1.8%
Peru,Chronic kidney disease,957,6.6%,0.9%
Peru,Hypertensive heart disease,642,4.4%,0.6%
Peru,Prostate cancer,529,3.6%,0.5%
Peru,Urinary diseases and male infertility,358,2.5%,0.3%
Peru,Upper digestive system diseases,213,1.5%,0.2%
Peru,Parkinson's disease,174,1.2%,0.2%
Peru,All Remaining Causes,134,0.9%,0.1%
Peru,Atrial fibrillation and flutter,122,0.8%,0.1%
Peru,Non-melanoma skin cancer,95,0.7%,0.1%
Philippines,Ischemic heart disease,32271,25.7%,11.0%
Philippines,Hypertensive heart disease,26221,20.9%,8.9%
Philippines,Chronic kidney disease,21618,17.2%,7.4%
Philippines,Stroke,20412,16.2%,7.0%
Philippines,All Remaining Causes,11406,9.1%,3.9%
Philippines,Asthma,3829,3.0%,1.3%
Philippines,Colon and rectum cancer,2778,2.2%,0.9%
Philippines,Protein-energy malnutrition,2043,1.6%,0.7%
Philippines,Urinary diseases and male infertility,1789,1.4%,0.6%
Philippines,Prostate cancer,1726,1.4%,0.6%
Philippines,Stomach cancer,1605,1.3%,0.5%
Poland,Ischemic heart disease,35400,67.3%,16.0%
Poland,Hypertensive heart disease,4081,7.8%,1.8%
Poland,Chronic kidney disease,3083,5.9%,1.4%
Poland,All Remaining Causes,2673,5.1%,1.2%
Poland,Non-melanoma skin cancer,2410,4.6%,1.1%
Poland,Stroke,1423,2.7%,0.6%
Poland,Diabetes mellitus,1260,2.4%,0.6%
Poland,Acute glomerulonephritis,764,1.5%,0.3%
Poland,Parkinson's disease,626,1.2%,0.3%
Poland,Diverticular disease of intestines,501,1.0%,0.2%
Poland,Other cardiovascular and circulatory diseases,372,0.7%,0.2%
Puerto Rico,Stroke,645,33.4%,9.4%
Puerto Rico,Prostate cancer,397,20.6%,5.8%
Puerto Rico,Hypertensive heart disease,261,13.5%,3.8%
Puerto Rico,Ischemic heart disease,257,13.3%,3.8%
Puerto Rico,"Tracheal, bronchus, and lung cancer",132,6.8%,1.9%
Puerto Rico,All Remaining Causes,114,5.9%,1.7%
Puerto Rico,Urinary diseases and male infertility,35,1.8%,0.5%
Puerto Rico,Cirrhosis and other chronic liver diseases,32,1.6%,0.5%
Puerto Rico,Bladder cancer,22,1.1%,0.3%
Puerto Rico,Other neurological disorders,21,1.1%,0.3%
Puerto Rico,Motor neuron disease,17,0.9%,0.2%
Qatar,Stroke,65,23.1%,6.7%
Qatar,Ischemic heart disease,60,21.2%,6.1%
Qatar,All Remaining Causes,46,16.2%,4.7%
Qatar,Chronic kidney disease,31,11.1%,3.2%
Qatar,Colon and rectum cancer,19,6.9%,2.0%
Qatar,"Tracheal, bronchus, and lung cancer",18,6.4%,1.9%
Qatar,Chronic obstructive pulmonary disease,15,5.4%,1.6%
Qatar,Alzheimer's disease and other dementias,10,3.5%,1.0%
Qatar,Uterine cancer,7,2.4%,0.7%
Qatar,Leukemia,6,2.0%,0.6%
Qatar,Stomach cancer,5,1.8%,0.5%
Republic of Korea,Stroke,2291,34.4%,17.8%
Republic of Korea,Diabetes mellitus,2274,34.2%,17.6%
Republic of Korea,Ischemic heart disease,1013,15.2%,7.9%
Republic of Korea,Gallbladder and biliary diseases,249,3.7%,1.9%
Republic of Korea,All Remaining Causes,231,3.5%,1.8%
Republic of Korea,Cirrhosis and other chronic liver diseases,190,2.9%,1.5%
Republic of Korea,Other digestive diseases (internal),153,2.3%,1.2%
Republic of Korea,Pancreatitis,88,1.3%,0.7%
Republic of Korea,Kidney cancer,71,1.1%,0.6%
Republic of Korea,Upper digestive system diseases,54,0.8%,0.4%
Republic of Korea,Other unspecified infectious diseases,42,0.6%,0.3%
Russian Federation,Ischemic heart disease,114284,43.6%,11.3%
Russian Federation,Lower respiratory infections,82380,31.4%,8.1%
Russian Federation,Stroke,24333,9.3%,2.4%
Russian Federation,Cirrhosis and other chronic liver diseases,11709,4.5%,1.2%
Russian Federation,Cardiomyopathy and myocarditis,11604,4.4%,1.1%
Russian Federation,Chronic obstructive pulmonary disease,6114,2.3%,0.6%
Russian Federation,All Remaining Causes,4398,1.7%,0.4%
Russian Federation,Parkinson's disease,2612,1.0%,0.3%
Russian Federation,Atrial fibrillation and flutter,2059,0.8%,0.2%
Russian Federation,Hypertensive heart disease,1389,0.5%,0.1%
Russian Federation,Upper digestive system diseases,1314,0.5%,0.1%
Saint Lucia,Hypertensive heart disease,8,51.3%,51.3%
Saint Lucia,Atrial fibrillation and flutter,2,11.7%,11.7%
Saint Lucia,Larynx cancer,2,9.9%,9.9%
Saint Lucia,Hemoglobinopathies and hemolytic anemias,2,9.5%,9.5%
Saint Lucia,Gallbladder and biliary tract cancer,1,3.8%,3.8%
Saint Lucia,Gynecological diseases,1,3.4%,3.4%
Saint Lucia,Other skin and subcutaneous diseases,1,3.3%,3.3%
Saint Lucia,Mesothelioma,0,2.5%,2.5%
Saint Lucia,Multiple myeloma,0,2.3%,2.3%
Saint Lucia,"Endocrine, metabolic, blood, and immune disorders",0,2.2%,2.2%
Saint Lucia,All Remaining Causes,0,0.0%,0.0%
Saint Vincent and the Grenadines,Chronic kidney disease,11,28.9%,28.8%
Saint Vincent and the Grenadines,Colon and rectum cancer,7,17.9%,17.9%
Saint Vincent and the Grenadines,All Remaining Causes,6,15.8%,15.8%
Saint Vincent and the Grenadines,Other cardiovascular and circulatory diseases,4,9.6%,9.6%
Saint Vincent and the Grenadines,Paralytic ileus and intestinal obstruction,2,5.6%,5.6%
Saint Vincent and the Grenadines,Diabetes mellitus,2,5.3%,5.3%
Saint Vincent and the Grenadines,Pancreatitis,1,3.8%,3.8%
Saint Vincent and the Grenadines,Stomach cancer,1,3.5%,3.5%
Saint Vincent and the Grenadines,Interstitial lung disease and pulmonary sarcoidosis,1,3.3%,3.3%
Saint Vincent and the Grenadines,Urinary diseases and male infertility,1,3.2%,3.2%
Saint Vincent and the Grenadines,Idiopathic epilepsy,1,3.1%,3.1%
Serbia,Lower respiratory infections,4377,72.2%,7.8%
Serbia,All Remaining Causes,464,7.7%,0.8%
Serbia,Ischemic heart disease,399,6.6%,0.7%
Serbia,Cirrhosis and other chronic liver diseases,195,3.2%,0.3%
Serbia,Atrial fibrillation and flutter,161,2.7%,0.3%
Serbia,Parkinson's disease,148,2.4%,0.3%
Serbia,Stomach cancer,80,1.3%,0.1%
Serbia,Urinary diseases and male infertility,76,1.3%,0.1%
Serbia,Other unspecified infectious diseases,68,1.1%,0.1%
Serbia,Stroke,47,0.8%,0.1%
Serbia,Larynx cancer,44,0.7%,0.1%
Singapore,Hypertensive heart disease,635,30.6%,15.7%
Singapore,Ischemic heart disease,406,19.6%,10.0%
Singapore,Stroke,299,14.4%,7.4%
Singapore,Alzheimer's disease and other dementias,276,13.3%,6.8%
Singapore,All Remaining Causes,197,9.5%,4.9%
Singapore,Lower extremity peripheral arterial disease,71,3.4%,1.8%
Singapore,Aortic aneurysm,46,2.2%,1.1%
Singapore,Cardiomyopathy and myocarditis,44,2.1%,1.1%
Singapore,Chronic obstructive pulmonary disease,42,2.0%,1.0%
Singapore,Gallbladder and biliary diseases,36,1.7%,0.9%
Singapore,Pancreatic cancer,25,1.2%,0.6%
Slovakia,Lower respiratory infections,3933,57.9%,15.7%
Slovakia,Ischemic heart disease,2221,32.7%,8.9%
Slovakia,Atrial fibrillation and flutter,201,3.0%,0.8%
Slovakia,Diarrheal diseases,176,2.6%,0.7%
Slovakia,Urinary diseases and male infertility,74,1.1%,0.3%
Slovakia,Parkinson's disease,55,0.8%,0.2%
Slovakia,Pancreatic cancer,40,0.6%,0.2%
Slovakia,Lower extremity peripheral arterial disease,28,0.4%,0.1%
Slovakia,All Remaining Causes,27,0.4%,0.1%
Slovakia,Upper digestive system diseases,27,0.4%,0.1%
Slovakia,Soft tissue and other extraosseous sarcomas,18,0.3%,0.1%
Slovenia,"Tracheal, bronchus, and lung cancer",23,19.8%,0.7%
Slovenia,Gallbladder and biliary diseases,18,15.1%,0.5%
Slovenia,Esophageal cancer,17,14.9%,0.5%
Slovenia,Bladder cancer,13,11.2%,0.4%
Slovenia,Liver cancer,12,10.6%,0.3%
Slovenia,Aortic aneurysm,12,10.0%,0.3%
Slovenia,Atrial fibrillation and flutter,7,6.4%,0.2%
Slovenia,Malignant skin melanoma,4,3.6%,0.1%
Slovenia,Diabetes mellitus,4,3.4%,0.1%
Slovenia,Pneumoconiosis,3,2.5%,0.1%
Slovenia,All Remaining Causes,3,2.4%,0.1%
Spain,Urinary diseases and male infertility,2074,41.2%,1.7%
Spain,Chronic kidney disease,1220,24.3%,1.0%
Spain,Diabetes mellitus,547,10.9%,0.4%
Spain,Hypertensive heart disease,459,9.1%,0.4%
Spain,Parkinson's disease,255,5.1%,0.2%
Spain,"Endocrine, metabolic, blood, and immune disorders",182,3.6%,0.1%
Spain,Idiopathic epilepsy,93,1.8%,0.1%
Spain,Malignant skin melanoma,76,1.5%,0.1%
Spain,All Remaining Causes,62,1.2%,0.1%
Spain,Cirrhosis and other chronic liver diseases,38,0.7%,0.0%
Spain,Inflammatory bowel disease,24,0.5%,0.0%
Sweden,Parkinson's disease,120,20.7%,0.6%
Sweden,"Endocrine, metabolic, blood, and immune disorders",111,19.1%,0.6%
Sweden,Urinary diseases and male infertility,103,17.8%,0.5%
Sweden,All Remaining Causes,72,12.4%,0.4%
Sweden,Diverticular disease of intestines,31,5.3%,0.2%
Sweden,Leukemia,30,5.2%,0.2%
Sweden,Interstitial lung disease and pulmonary sarcoidosis,25,4.3%,0.1%
Sweden,Bacterial skin diseases,24,4.1%,0.1%
Sweden,Other nutritional deficiencies,23,4.0%,0.1%
Sweden,Malignant skin melanoma,21,3.6%,0.1%
Sweden,Upper digestive system diseases,21,3.6%,0.1%
Switzerland,Cirrhosis and other chronic liver diseases,52,25.8%,0.3%
Switzerland,Parkinson's disease,37,18.3%,0.2%
Switzerland,Non-Hodgkin lymphoma,32,16.2%,0.2%
Switzerland,All Remaining Causes,19,9.3%,0.1%
Switzerland,Non-melanoma skin cancer,18,8.8%,0.1%
Switzerland,Urinary diseases and male infertility,10,5.0%,0.1%
Switzerland,Other cardiovascular and circulatory diseases,10,5.0%,0.1%
Switzerland,Hemoglobinopathies and hemolytic anemias,10,4.9%,0.1%
Switzerland,Decubitus ulcer,5,2.6%,0.0%
Switzerland,Interstitial lung disease and pulmonary sarcoidosis,4,2.2%,0.0%
Switzerland,Pancreatitis,4,1.8%,0.0%
Tunisia,All Remaining Causes,9158,28.0%,16.2%
Tunisia,Stroke,5176,15.8%,9.1%
Tunisia,Diabetes mellitus,4527,13.9%,8.0%
Tunisia,Ischemic heart disease,3825,11.7%,6.8%
Tunisia,Lower respiratory infections,2311,7.1%,4.1%
Tunisia,Chronic kidney disease,1802,5.5%,3.2%
Tunisia,Hypertensive heart disease,1464,4.5%,2.6%
Tunisia,"Tracheal, bronchus, and lung cancer",1420,4.3%,2.5%
Tunisia,Colon and rectum cancer,1038,3.2%,1.8%
Tunisia,Alzheimer's disease and other dementias,998,3.1%,1.8%
Tunisia,Chronic obstructive pulmonary disease,959,2.9%,1.7%
Ukraine,Ischemic heart disease,2679,27.5%,13.2%
Ukraine,Lower respiratory infections,2521,25.9%,12.4%
Ukraine,Diabetes mellitus,1941,19.9%,9.6%
Ukraine,Urinary diseases and male infertility,879,9.0%,4.3%
Ukraine,All Remaining Causes,559,5.7%,2.8%
Ukraine,Chronic obstructive pulmonary disease,299,3.1%,1.5%
Ukraine,Other musculoskeletal disorders,253,2.6%,1.2%
Ukraine,Atrial fibrillation and flutter,200,2.0%,1.0%
Ukraine,Cirrhosis and other chronic liver diseases,144,1.5%,0.7%
Ukraine,Interstitial lung disease and pulmonary sarcoidosis,143,1.5%,0.7%
Ukraine,Other cardiovascular and circulatory diseases,123,1.3%,0.6%
United Arab Emirates,Lower respiratory infections,79,46.9%,6.5%
United Arab Emirates,Cardiomyopathy and myocarditis,32,18.8%,2.6%
United Arab Emirates,Urinary diseases and male infertility,19,11.1%,1.5%
United Arab Emirates,All Remaining Causes,15,8.9%,1.2%
United Arab Emirates,Endocarditis,4,2.5%,0.3%
United Arab Emirates,Invasive Non-typhoidal Salmonella (iNTS),4,2.2%,0.3%
United Arab Emirates,Other unspecified infectious diseases,4,2.1%,0.3%
United Arab Emirates,HIV/AIDS,3,2.1%,0.3%
United Arab Emirates,Uterine cancer,3,2.0%,0.3%
United Arab Emirates,"Endocrine, metabolic, blood, and immune disorders",3,1.9%,0.3%
United Arab Emirates,Kidney cancer,3,1.6%,0.2%
United Kingdom,Cirrhosis and other chronic liver diseases,388,26.6%,0.2%
United Kingdom,Hypertensive heart disease,239,16.4%,0.1%
United Kingdom,Rheumatic heart disease,198,13.5%,0.1%
United Kingdom,Endocarditis,121,8.3%,0.1%
United Kingdom,Urinary diseases and male infertility,115,7.9%,0.1%
United Kingdom,Pancreatitis,103,7.1%,0.1%
United Kingdom,All Remaining Causes,102,7.0%,0.1%
United Kingdom,Inflammatory bowel disease,83,5.7%,0.0%
United Kingdom,Parkinson's disease,42,2.9%,0.0%
United Kingdom,Ischemic heart disease,42,2.9%,0.0%
United Kingdom,Aortic aneurysm,28,1.9%,0.0%
United States Virgin Islands,All Remaining Causes,8,17.8%,5.1%
United States Virgin Islands,Ischemic heart disease,7,15.9%,4.5%
United States Virgin Islands,Prostate cancer,6,12.7%,3.6%
United States Virgin Islands,Protein-energy malnutrition,4,10.0%,2.9%
United States Virgin Islands,Bladder cancer,4,8.1%,2.3%
United States Virgin Islands,Cardiomyopathy and myocarditis,4,7.9%,2.3%
United States Virgin Islands,Esophageal cancer,3,7.2%,2.1%
United States Virgin Islands,Leukemia,3,6.6%,1.9%
United States Virgin Islands,Non-Hodgkin lymphoma,2,4.9%,1.4%
United States Virgin Islands,Kidney cancer,2,4.8%,1.4%
United States Virgin Islands,Chronic obstructive pulmonary disease,2,4.2%,1.2%
United States of America,Ischemic heart disease,44814,27.0%,4.0%
United States of America,Diabetes mellitus,25418,15.3%,2.2%
United States of America,Hypertensive heart disease,22261,13.4%,2.0%
United States of America,All Remaining Causes,14924,9.0%,1.3%
United States of America,Stroke,14571,8.8%,1.3%
United States of America,Cirrhosis and other chronic liver diseases,13712,8.3%,1.2%
United States of America,"Endocrine, metabolic, blood, and immune disorders",9677,5.8%,0.9%
United States of America,Chronic kidney disease,8850,5.3%,0.8%
United States of America,Protein-energy malnutrition,6335,3.8%,0.6%
United States of America,Urinary diseases and male infertility,2843,1.7%,0.3%
United States of America,Parkinson's disease,2726,1.6%,0.2%
Uruguay,Pancreatic cancer,28,38.1%,9.8%
Uruguay,Cervical cancer,16,21.5%,5.5%
Uruguay,Other pharynx cancer,14,18.5%,4.8%
Uruguay,Diabetes mellitus,10,12.8%,3.3%
Uruguay,Inflammatory bowel disease,3,4.1%,1.1%
Uruguay,Aortic aneurysm,2,3.2%,0.8%
Uruguay,Cystic echinococcosis,1,1.7%,0.4%
Uruguay,All Remaining Causes,0,0.0%,0.0%
