Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Switzerland,Male,29.1%,22.6%,17.3%,14.3%,13.1%,-42.1%,
         United Kingdom,Male,33.8%,26.4%,20.9%,18.9%,20.2%,-23.4%,
   Latin America and Caribbean,Male,42.4%,38.3%,35.8%,32.6%,32.6%,-14.7%,
      Andean Latin America,Male,37.1%,34.0%,28.9%,26.3%,29.1%,-14.4%,
         Bolivia (Plurinational State of),Male,50.2%,45.8%,42.6%,39.3%,39.7%,-13.4%,
         Ecuador,Male,37.9%,38.2%,30.3%,25.0%,29.4%,-23.1%,
         Peru,Male,32.4%,27.9%,23.4%,22.8%,25.9%,-6.9%,
      Caribbean,Male,43.7%,40.6%,52.8%,38.8%,39.7%,-2.2%,
         Antigua and Barbuda,Male,39.7%,34.5%,28.8%,27.8%,28.5%,-17.3%,
         Barbados,Male,35.9%,32.4%,29.2%,29.4%,30.3%,-6.5%,
         Belize,Male,34.3%,43.6%,36.5%,35.3%,33.7%,-22.7%,
         Bermuda,Male,39.9%,31.7%,22.8%,22.8%,22.9%,-27.9%,
         Cuba,Male,31.7%,29.1%,27.2%,29.0%,29.1%,-0.2%,
         Dominica,Male,33.3%,31.9%,32.0%,31.6%,30.8%,-3.5%,
         Dominican Republic,Male,39.6%,36.3%,34.4%,38.4%,39.6%,9.2%,
         Grenada,Male,43.1%,39.0%,34.6%,34.6%,33.5%,-14.1%,
         Guyana,Male,57.8%,54.5%,51.9%,45.5%,50.1%,-8.1%,
         Haiti,Male,66.2%,62.0%,89.6%,56.3%,57.3%,-7.6%,
         Jamaica,Male,30.8%,34.1%,27.5%,34.5%,32.0%,-6.2%,
         Puerto Rico,Male,39.7%,34.5%,28.9%,25.4%,25.6%,-25.9%,
         Saint Kitts and Nevis,Male,48.6%,42.7%,37.9%,35.2%,34.7%,-18.9%,
         Saint Lucia,Male,43.8%,36.8%,34.2%,32.3%,31.0%,-15.7%,
