Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Belize,Female,25.6%,31.5%,26.4%,25.6%,24.4%,-22.8%,
         Bermuda,Female,20.1%,16.4%,11.9%,11.4%,13.0%,-20.6%,
         Cuba,Female,23.7%,21.1%,18.5%,18.2%,18.5%,-12.0%,
         Dominica,Female,23.7%,21.5%,21.2%,21.8%,21.4%,-0.5%,
         Dominican Republic,Female,29.4%,24.6%,22.9%,24.5%,24.9%,1.2%,
         Grenada,Female,31.6%,26.2%,24.4%,23.5%,25.9%,-1.2%,
         Guyana,Female,42.3%,40.1%,37.3%,32.2%,35.0%,-12.7%,
         Haiti,Female,62.6%,58.0%,92.2%,50.9%,51.9%,-10.5%,
         Jamaica,Female,25.6%,26.2%,21.6%,24.1%,23.2%,-11.5%,
         Puerto Rico,Female,20.7%,18.3%,14.9%,12.3%,12.8%,-30.0%,
         Saint Kitts and Nevis,Female,34.5%,28.0%,24.3%,23.4%,23.5%,-15.8%,
         Saint Lucia,Female,32.4%,26.1%,21.6%,18.8%,19.6%,-24.9%,
         Saint Vincent and the Grenadines,Female,29.2%,29.5%,25.8%,25.8%,24.7%,-16.3%,
         Suriname,Female,30.9%,30.2%,27.6%,26.6%,26.1%,-13.4%,
         Bahamas,Female,29.8%,29.9%,28.0%,32.7%,26.8%,-10.4%,
         Trinidad and Tobago,Female,36.0%,33.6%,25.4%,23.8%,25.4%,-24.5%,
         United States Virgin Islands,Female,24.7%,20.6%,17.1%,15.9%,17.9%,-12.9%,
      Central Latin America,Female,28.4%,24.1%,20.9%,20.4%,20.0%,-17.1%,
         Colombia,Female,26.9%,22.3%,16.6%,14.9%,14.1%,-36.9%,
         Costa Rica,Female,19.7%,17.9%,14.6%,14.0%,14.6%,-18.0%,
         El Salvador,Female,29.8%,25.9%,23.4%,24.4%,25.2%,-2.5%,
         Guatemala,Female,43.0%,33.1%,28.6%,27.3%,26.7%,-19.2%,
         Honduras,Female,28.4%,26.8%,23.8%,21.4%,19.3%,-28.0%,
         Mexico,Female,28.3%,24.5%,22.1%,21.3%,20.6%,-16.0%,
         Nicaragua,Female,27.6%,23.6%,23.2%,24.0%,21.1%,-10.9%,
         Panama,Female,20.1%,18.0%,16.6%,16.8%,15.9%,-11.7%,
         Venezuela (Bolivarian Republic of),Female,26.9%,22.7%,20.0%,23.3%,25.6%,12.8%,
      Tropical Latin America,Female,28.4%,25.5%,21.6%,19.4%,19.2%,-24.6%,
         Brazil,Female,28.6%,25.5%,21.6%,19.3%,19.1%,-25.2%,
         Paraguay,Female,23.0%,23.8%,24.4%,23.8%,24.9%,4.6%,
   North Africa and Middle East,Female,37.9%,31.6%,26.9%,24.1%,24.3%,-23.4%,
      North Africa and Middle East,Female,37.9%,31.6%,26.9%,24.1%,24.3%,-23.4%,
         Afghanistan,Female,52.9%,49.6%,43.4%,39.9%,37.9%,-23.7%,
         Algeria,Female,31.2%,26.0%,23.0%,21.8%,21.2%,-18.5%,
         Bahrain,Female,35.8%,34.4%,23.1%,16.6%,15.7%,-54.4%,
         Egypt,Female,43.4%,37.5%,37.8%,33.2%,35.2%,-6.1%,
         Iran (Islamic Republic of),Female,34.9%,23.8%,17.8%,15.6%,14.1%,-40.6%,
         Iraq,Female,36.0%,35.3%,33.8%,30.1%,29.9%,-15.4%,
         Jordan,Female,28.7%,28.8%,23.7%,18.8%,17.2%,-40.0%,
         Kuwait,Female,27.4%,22.0%,17.0%,12.7%,11.3%,-48.8%,
         Lebanon,Female,21.3%,15.3%,13.8%,19.3%,17.3%,13.7%,
         Libya,Female,32.5%,29.0%,27.7%,25.5%,34.7%,19.6%,
         Morocco,Female,43.9%,38.2%,34.2%,32.1%,30.9%,-19.2%,
         Oman,Female,33.4%,27.2%,24.5%,18.4%,16.8%,-38.2%,
         Palestine,Female,29.7%,26.4%,23.4%,18.9%,30.2%,14.2%,
         Qatar,Female,32.5%,29.9%,21.0%,11.6%,11.0%,-63.1%,
         Saudi Arabia,Female,31.4%,24.8%,26.3%,22.7%,23.5%,-5.3%,
         Sudan,Female,54.8%,48.3%,40.0%,34.8%,34.6%,-28.3%,
         Syrian Arab Republic,Female,32.7%,29.2%,22.7%,20.9%,19.9%,-31.7%,
         Tunisia,Female,29.3%,24.2%,20.0%,18.2%,19.4%,-19.9%,
         Türkiye,Female,30.2%,24.0%,16.2%,14.9%,17.5%,-27.0%,
         United Arab Emirates,Female,38.4%,32.6%,20.7%,12.2%,11.3%,-65.3%,
         Yemen,Female,44.6%,36.6%,29.7%,28.1%,25.5%,-30.3%,
   South Asia,Female,52.5%,44.0%,36.2%,32.8%,32.2%,-26.9%,
      South Asia,Female,52.5%,44.0%,36.2%,32.8%,32.2%,-26.9%,
         Bangladesh,Female,55.0%,45.3%,34.6%,32.7%,33.8%,-25.5%,
         Bhutan,Female,53.7%,48.1%,37.6%,33.5%,33.3%,-30.7%,
         India,Female,52.9%,44.0%,35.9%,32.1%,31.3%,-28.9%,
         Nepal,Female,50.2%,41.2%,30.0%,25.8%,26.4%,-35.9%,
         Pakistan,Female,46.0%,43.9%,40.9%,38.4%,37.5%,-14.5%,
"   Southeast Asia, East Asia, and Oceania",Female,36.0%,29.7%,21.5%,16.5%,16.9%,-43.1%,
      East Asia,Female,35.6%,28.6%,18.3%,12.0%,11.9%,-58.2%,
         China,Female,36.1%,28.7%,18.2%,11.8%,11.7%,-59.3%,
         Democratic People's Republic of Korea,Female,25.1%,28.7%,24.7%,24.1%,24.1%,-15.9%,
         Taiwan*,Female,22.4%,17.9%,13.3%,11.4%,11.5%,-35.6%,
      Oceania,Female,45.3%,44.7%,44.4%,43.0%,43.6%,-2.6%,
         American Samoa,Female,30.6%,33.4%,32.8%,29.6%,29.9%,-10.2%,
         Cook Islands,Female,34.6%,30.8%,28.1%,26.8%,26.7%,-13.4%,
         Micronesia (Federated States of),Female,44.4%,44.4%,40.9%,39.3%,39.3%,-11.6%,
         Fiji,Female,39.0%,42.1%,43.7%,41.5%,42.4%,0.8%,
         Guam,Female,24.2%,21.2%,19.7%,22.0%,22.2%,4.9%,
         Kiribati,Female,36.1%,34.7%,32.8%,30.7%,30.7%,-11.5%,
         Marshall Islands,Female,52.2%,55.0%,56.2%,56.3%,57.6%,4.7%,
         Nauru,Female,62.7%,69.2%,69.3%,66.2%,66.9%,-3.3%,
         Niue,Female,31.0%,30.6%,29.2%,29.1%,29.2%,-4.8%,
         Northern Mariana Islands,Female,33.9%,34.0%,32.8%,31.0%,31.3%,-7.9%,
         Palau,Female,37.3%,37.6%,37.2%,36.5%,37.2%,-1.1%,
         Papua New Guinea,Female,48.4%,47.4%,46.4%,44.2%,44.7%,-5.7%,
         Samoa,Female,28.3%,29.0%,28.9%,30.9%,30.9%,6.6%,
         Solomon Islands,Female,50.3%,48.0%,46.2%,50.1%,51.7%,7.8%,
         Tokelau,Female,25.9%,25.8%,24.8%,23.8%,23.8%,-7.5%,
         Tonga,Female,31.6%,31.8%,33.1%,33.6%,35.6%,12.0%,
         Tuvalu,Female,50.3%,53.6%,48.1%,47.8%,48.6%,-9.4%,
         Vanuatu,Female,34.8%,34.5%,32.9%,33.4%,33.4%,-3.0%,
      Southeast Asia,Female,36.0%,31.9%,29.1%,26.6%,26.8%,-15.9%,
         Cambodia,Female,46.2%,40.8%,30.7%,26.6%,27.4%,-32.7%,
         Indonesia,Female,39.2%,33.6%,33.1%,30.3%,30.6%,-8.9%,
         Lao People's Democratic Republic,Female,60.2%,52.8%,43.9%,42.2%,42.6%,-19.3%,
         Malaysia,Female,30.6%,27.2%,23.3%,21.6%,21.2%,-22.3%,
         Maldives,Female,45.8%,31.9%,21.8%,17.2%,15.0%,-53.0%,
         Mauritius,Female,30.2%,27.9%,23.4%,21.8%,22.7%,-18.8%,
         Myanmar,Female,51.3%,46.8%,40.0%,36.2%,37.3%,-20.3%,
         Philippines,Female,28.7%,27.5%,27.9%,27.1%,26.3%,-4.3%,
         Seychelles,Female,25.9%,24.1%,22.1%,18.9%,20.7%,-14.4%,
         Sri Lanka,Female,27.3%,23.0%,19.9%,16.0%,18.7%,-18.5%,
         Thailand,Female,26.7%,27.8%,21.0%,17.7%,17.6%,-36.8%,
         Timor-Leste,Female,50.7%,42.4%,35.6%,35.3%,35.4%,-16.6%,
         Viet Nam,Female,28.8%,24.2%,22.6%,21.0%,20.5%,-15.2%,
   Sub-Saharan Africa,Female,56.2%,59.2%,50.2%,43.4%,42.7%,-27.8%,
      Central Sub-Saharan Africa,Female,57.1%,58.5%,52.4%,47.6%,47.2%,-19.3%,
         Angola,Female,55.3%,50.4%,43.9%,39.5%,39.4%,-22.0%,
         Central African Republic,Female,65.6%,78.2%,67.9%,62.0%,60.4%,-22.8%,
         Congo,Female,57.2%,60.4%,49.6%,47.9%,48.3%,-20.0%,
         Democratic Republic of the Congo,Female,57.0%,58.6%,54.0%,49.2%,48.8%,-16.8%,
         Equatorial Guinea,Female,61.2%,55.4%,51.4%,46.6%,49.7%,-10.3%,
         Gabon,Female,45.1%,50.4%,45.4%,44.2%,42.9%,-14.8%,
      Eastern Sub-Saharan Africa,Female,59.7%,62.1%,49.4%,42.0%,41.6%,-33.0%,
         Burundi,Female,61.8%,66.1%,48.9%,44.3%,45.2%,-31.7%,
         Comoros,Female,37.0%,32.7%,26.6%,24.3%,23.6%,-28.0%,
         Djibouti,Female,44.4%,43.4%,41.8%,37.7%,37.4%,-13.9%,
         Eritrea,Female,64.0%,54.8%,49.4%,46.4%,45.8%,-16.5%,
         Ethiopia,Female,65.3%,63.2%,48.8%,42.8%,42.9%,-32.1%,
         Kenya,Female,44.7%,55.9%,43.8%,36.3%,34.8%,-37.8%,
         Madagascar,Female,60.0%,54.0%,48.5%,46.1%,46.6%,-13.6%,
         Malawi,Female,66.5%,75.5%,54.6%,47.8%,48.7%,-35.5%,
         Mozambique,Female,51.0%,53.5%,46.5%,41.9%,40.0%,-25.3%,
         Rwanda,Female,64.3%,65.2%,43.3%,39.5%,41.0%,-37.1%,
         Somalia,Female,53.0%,51.1%,57.3%,39.1%,38.2%,-25.2%,
         South Sudan,Female,58.6%,57.0%,54.8%,53.6%,53.8%,-5.7%,
         Uganda,Female,65.5%,66.1%,49.5%,40.2%,40.1%,-39.4%,
         United Republic of Tanzania,Female,55.5%,61.9%,49.9%,38.0%,36.1%,-41.7%,
         Zambia,Female,66.3%,80.2%,61.1%,53.4%,52.8%,-34.2%,
      Southern Sub-Saharan Africa,Female,34.7%,57.2%,55.3%,42.0%,40.8%,-28.7%,
         Botswana,Female,38.2%,71.0%,40.6%,35.3%,34.5%,-51.4%,
         Eswatini,Female,53.7%,66.3%,69.3%,55.0%,53.6%,-19.2%,
         Lesotho,Female,50.3%,73.0%,63.2%,59.8%,57.5%,-21.2%,
         Namibia,Female,46.1%,59.3%,46.0%,41.6%,40.4%,-31.9%,
         South Africa,Female,32.0%,50.9%,54.9%,40.6%,40.0%,-21.6%,
         Zimbabwe,Female,38.1%,74.3%,57.8%,44.4%,41.0%,-44.8%,
      Western Sub-Saharan Africa,Female,57.3%,56.8%,48.5%,43.5%,42.6%,-25.0%,
         Benin,Female,49.6%,46.7%,39.9%,37.3%,35.8%,-23.3%,
         Burkina Faso,Female,58.5%,53.8%,40.8%,34.9%,34.6%,-35.7%,
         Cabo Verde,Female,26.8%,23.1%,19.1%,19.5%,19.5%,-15.7%,
         Cameroon,Female,56.7%,64.6%,59.9%,51.5%,50.0%,-22.6%,
         Chad,Female,63.3%,62.4%,56.3%,52.9%,51.9%,-16.9%,
         Côte d'Ivoire,Female,56.5%,66.0%,52.1%,44.7%,43.6%,-33.9%,
         Ghana,Female,54.3%,52.0%,45.4%,42.4%,42.1%,-19.1%,
         Guinea,Female,62.5%,57.6%,51.5%,48.0%,46.8%,-18.6%,
         Guinea-Bissau,Female,58.6%,57.1%,55.6%,52.3%,51.3%,-10.2%,
         Liberia,Female,59.3%,57.0%,52.2%,48.4%,48.0%,-15.8%,
         Mali,Female,61.9%,55.8%,45.6%,44.3%,43.6%,-21.9%,
         Mauritania,Female,48.4%,43.8%,41.5%,39.1%,39.6%,-9.7%,
         Niger,Female,66.6%,61.8%,52.1%,48.6%,47.6%,-22.9%,
         Nigeria,Female,56.8%,56.2%,47.6%,42.2%,41.2%,-26.7%,
         Sao Tome and Principe,Female,40.7%,40.3%,38.7%,34.6%,33.6%,-16.7%,
         Senegal,Female,47.2%,41.6%,36.0%,33.1%,33.1%,-20.3%,
         Sierra Leone,Female,62.3%,61.0%,56.1%,51.2%,50.3%,-17.5%,
         Gambia,Female,43.1%,41.7%,39.2%,39.0%,38.5%,-7.6%,
         Togo,Female,52.3%,54.5%,50.3%,44.1%,42.9%,-21.3%,
Global,Both,44.0%,40.4%,33.7%,29.2%,29.2%,-27.8%,
"   Central Europe, Eastern Europe, and Central Asia",Both,39.8%,43.7%,37.3%,31.0%,30.5%,-30.2%,
      Central Asia,Both,42.5%,43.8%,38.5%,32.2%,30.3%,-31.0%,
         Armenia,Both,36.7%,32.9%,29.9%,23.7%,19.2%,-41.6%,
         Azerbaijan,Both,43.3%,41.7%,33.8%,30.4%,30.0%,-28.1%,
         Georgia,Both,39.2%,38.3%,35.9%,30.4%,29.5%,-23.0%,
         Kazakhstan,Both,44.1%,49.8%,42.9%,32.5%,29.3%,-41.2%,
         Kyrgyzstan,Both,43.6%,45.0%,40.1%,28.3%,25.7%,-42.9%,
         Mongolia,Both,54.8%,53.9%,48.6%,36.4%,34.9%,-35.2%,
         Tajikistan,Both,42.5%,40.2%,32.3%,29.5%,33.8%,-15.9%,
         Turkmenistan,Both,45.5%,45.6%,40.6%,40.5%,38.4%,-15.7%,
         Uzbekistan,Both,40.6%,41.9%,38.6%,34.0%,31.6%,-24.6%,
      Central Europe,Both,37.1%,33.2%,28.1%,25.1%,24.0%,-27.9%,
         Albania,Both,30.5%,23.4%,17.5%,17.9%,15.9%,-32.1%,
         Bosnia and Herzegovina,Both,33.6%,28.2%,24.9%,23.7%,22.5%,-20.1%,
         Bulgaria,Both,35.4%,35.3%,30.6%,28.3%,27.5%,-22.0%,
         Croatia,Both,33.1%,29.3%,24.3%,21.2%,21.1%,-28.1%,
         Czechia,Both,36.9%,28.4%,23.4%,20.0%,18.9%,-33.4%,
         Hungary,Both,42.2%,37.7%,32.0%,28.3%,27.6%,-26.6%,
         Montenegro,Both,29.5%,31.2%,27.9%,23.8%,24.0%,-23.2%,
         North Macedonia,Both,33.4%,31.7%,26.6%,25.3%,22.2%,-30.1%,
         Poland,Both,37.3%,31.9%,27.4%,24.8%,23.1%,-27.5%,
         Romania,Both,37.0%,36.2%,31.5%,28.6%,27.8%,-23.3%,
         Serbia,Both,37.8%,36.1%,29.6%,25.6%,24.9%,-31.1%,
         Slovakia,Both,38.7%,33.2%,28.0%,23.8%,22.8%,-31.3%,
         Slovenia,Both,32.0%,27.1%,20.0%,16.2%,15.9%,-41.1%,
      Eastern Europe,Both,40.2%,48.5%,41.9%,33.3%,33.6%,-30.8%,
         Belarus,Both,37.2%,44.4%,41.3%,31.7%,32.1%,-27.7%,
         Estonia,Both,39.9%,39.3%,29.1%,23.1%,22.7%,-42.2%,
         Latvia,Both,39.8%,40.1%,34.4%,28.5%,29.9%,-25.5%,
         Lithuania,Both,37.6%,36.1%,35.8%,28.6%,27.5%,-23.8%,
         Republic of Moldova,Both,42.7%,42.4%,41.1%,32.1%,29.8%,-29.8%,
         Russian Federation,Both,41.0%,50.4%,42.9%,33.8%,33.8%,-33.1%,
         Ukraine,Both,38.3%,45.3%,39.8%,33.0%,34.7%,-23.4%,
   High-income,Both,25.8%,21.7%,18.3%,16.9%,17.5%,-19.7%,
      Australasia,Both,24.6%,18.7%,14.9%,13.4%,12.9%,-31.2%,
         Australia,Both,24.1%,18.3%,14.6%,13.1%,12.4%,-32.3%,
         New Zealand,Both,27.0%,20.9%,16.1%,14.8%,15.5%,-25.9%,
      High-income Asia Pacific,Both,22.3%,18.6%,14.8%,12.0%,12.0%,-35.3%,
         Brunei Darussalam,Both,35.7%,29.8%,24.4%,22.0%,22.0%,-26.2%,
         Japan,Both,18.9%,16.8%,14.0%,12.0%,12.5%,-26.0%,
         Singapore,Both,28.4%,20.9%,14.2%,10.6%,10.6%,-49.3%,
         Republic of Korea,Both,34.9%,24.8%,16.9%,11.9%,11.3%,-54.5%,
      High-income North America,Both,28.0%,24.8%,21.4%,21.2%,22.2%,-10.3%,
         Canada,Both,23.7%,19.7%,16.2%,15.3%,16.2%,-18.0%,
         Greenland,Both,54.0%,49.6%,40.5%,34.1%,31.0%,-37.6%,
         United States of America,Both,28.4%,25.3%,22.0%,21.9%,22.9%,-9.6%,
      Southern Latin America,Both,32.5%,28.5%,25.3%,22.3%,22.1%,-22.5%,
         Argentina,Both,32.9%,30.0%,26.8%,24.0%,23.8%,-20.6%,
         Chile,Both,31.5%,24.2%,21.4%,17.9%,17.8%,-26.5%,
         Uruguay,Both,32.3%,29.7%,25.9%,24.4%,25.3%,-14.6%,
      Western Europe,Both,25.0%,20.5%,16.7%,14.8%,15.2%,-25.6%,
         Andorra,Both,19.7%,18.0%,15.7%,14.3%,14.3%,-20.3%,
         Austria,Both,25.8%,21.1%,17.7%,15.1%,14.7%,-30.3%,
         Belgium,Both,25.2%,21.6%,18.8%,15.8%,15.1%,-30.4%,
         Cyprus,Both,24.9%,21.0%,16.7%,15.1%,14.2%,-32.2%,
         Denmark,Both,29.1%,25.0%,19.6%,16.0%,15.4%,-38.6%,
         Finland,Both,27.6%,21.8%,18.7%,15.4%,15.7%,-28.0%,
         France,Both,23.6%,20.5%,17.3%,15.0%,15.4%,-25.1%,
         Germany,Both,26.8%,21.7%,18.1%,16.9%,17.5%,-19.5%,
         Greece,Both,21.3%,18.9%,16.8%,15.8%,17.1%,-9.4%,
         Iceland,Both,21.6%,17.5%,14.1%,12.6%,13.2%,-24.6%,
         Ireland,Both,27.8%,23.0%,16.5%,13.4%,13.2%,-42.5%,
         Israel,Both,22.1%,19.5%,14.3%,12.5%,12.9%,-33.7%,
         Italy,Both,23.4%,18.3%,14.3%,12.5%,13.0%,-29.0%,
         Luxembourg,Both,27.2%,21.4%,16.4%,12.9%,12.9%,-39.9%,
         Malta,Both,23.7%,19.3%,15.1%,13.1%,12.6%,-34.6%,
         Monaco,Both,25.1%,24.0%,21.6%,17.7%,17.4%,-27.5%,
         Netherlands,Both,23.6%,21.0%,16.5%,14.2%,13.8%,-34.2%,
         Norway,Both,24.0%,19.6%,16.1%,12.4%,12.3%,-37.6%,
         Portugal,Both,27.4%,22.6%,17.6%,15.4%,15.7%,-30.7%,
         San Marino,Both,19.5%,16.6%,11.5%,9.0%,9.9%,-40.1%,
         Spain,Both,23.1%,18.9%,15.0%,13.5%,14.0%,-26.0%,
         Sweden,Both,21.8%,17.7%,14.7%,12.6%,12.1%,-32.0%,
         Switzerland,Both,21.9%,17.5%,13.8%,11.5%,10.5%,-40.2%,
         United Kingdom,Both,27.5%,21.7%,17.4%,15.8%,16.8%,-22.5%,
   Latin America and Caribbean,Both,35.9%,31.9%,30.2%,26.6%,26.6%,-16.7%,
      Andean Latin America,Both,33.1%,29.8%,25.1%,22.8%,24.9%,-16.4%,
         Bolivia (Plurinational State of),Both,44.4%,40.1%,37.0%,34.0%,33.8%,-15.5%,
         Ecuador,Both,33.1%,32.7%,25.3%,20.9%,23.7%,-27.6%,
         Peru,Both,29.3%,24.8%,20.7%,20.0%,22.7%,-8.2%,
      Caribbean,Both,39.3%,36.2%,52.5%,33.8%,34.8%,-3.9%,
         Antigua and Barbuda,Both,31.9%,28.2%,23.4%,23.6%,24.4%,-13.4%,
         Barbados,Both,29.8%,27.0%,23.9%,24.5%,25.2%,-6.8%,
         Belize,Both,30.2%,38.1%,31.7%,30.6%,29.1%,-23.6%,
         Bermuda,Both,30.0%,24.0%,17.3%,17.0%,18.0%,-25.2%,
         Cuba,Both,27.8%,25.2%,22.9%,23.6%,23.8%,-5.3%,
         Dominica,Both,28.1%,26.7%,26.9%,27.1%,26.5%,-0.7%,
         Dominican Republic,Both,34.6%,30.6%,28.9%,31.7%,32.5%,6.1%,
         Grenada,Both,37.2%,32.7%,29.8%,29.5%,29.9%,-8.5%,
         Guyana,Both,50.5%,47.6%,44.9%,39.1%,42.8%,-10.1%,
         Haiti,Both,64.5%,60.0%,91.0%,53.5%,54.5%,-9.2%,
         Jamaica,Both,28.1%,30.2%,24.6%,29.4%,27.7%,-8.4%,
         Puerto Rico,Both,30.3%,26.3%,21.8%,18.7%,19.1%,-27.4%,
         Saint Kitts and Nevis,Both,41.5%,35.4%,31.3%,29.4%,29.1%,-17.9%,
         Saint Lucia,Both,38.0%,31.4%,28.0%,25.8%,25.5%,-18.9%,
         Saint Vincent and the Grenadines,Both,34.1%,34.8%,31.0%,32.9%,30.5%,-12.2%,
         Suriname,Both,36.8%,36.9%,34.2%,32.8%,31.8%,-13.8%,
         Bahamas,Both,38.4%,37.9%,34.7%,37.7%,33.1%,-12.5%,
         Trinidad and Tobago,Both,41.5%,39.7%,31.7%,30.7%,32.0%,-19.3%,
         United States Virgin Islands,Both,32.2%,28.8%,25.8%,24.7%,26.6%,-7.8%,
      Central Latin America,Both,34.7%,30.0%,26.7%,26.4%,25.8%,-14.0%,
         Colombia,Both,33.5%,29.1%,22.0%,19.5%,19.0%,-34.9%,
         Costa Rica,Both,24.5%,22.9%,19.4%,18.7%,19.8%,-13.7%,
         El Salvador,Both,38.9%,34.6%,31.5%,33.7%,33.0%,-4.7%,
         Guatemala,Both,48.5%,39.3%,34.0%,31.9%,31.2%,-20.6%,
         Honduras,Both,33.3%,30.7%,27.1%,24.8%,22.6%,-26.4%,
         Mexico,Both,34.4%,29.5%,27.7%,27.5%,26.7%,-9.7%,
         Nicaragua,Both,32.7%,28.9%,28.7%,30.0%,26.0%,-9.9%,
         Panama,Both,24.8%,22.6%,22.0%,21.7%,20.4%,-10.0%,
         Venezuela (Bolivarian Republic of),Both,33.7%,30.5%,28.2%,31.0%,32.5%,6.4%,
      Tropical Latin America,Both,36.8%,33.3%,29.1%,26.2%,26.0%,-22.0%,
         Brazil,Both,37.1%,33.4%,29.0%,26.0%,25.8%,-22.7%,
         Paraguay,Both,26.9%,29.0%,30.7%,31.1%,32.1%,10.5%,
   North Africa and Middle East,Both,43.3%,36.8%,31.7%,28.8%,28.3%,-23.2%,
      North Africa and Middle East,Both,43.3%,36.8%,31.7%,28.8%,28.3%,-23.2%,
         Afghanistan,Both,53.3%,50.2%,43.8%,41.8%,38.1%,-24.1%,
         Algeria,Both,35.1%,29.5%,26.0%,24.7%,24.3%,-17.5%,
         Bahrain,Both,39.1%,37.4%,24.9%,18.8%,19.5%,-48.0%,
         Egypt,Both,48.2%,41.6%,41.7%,37.5%,38.7%,-7.0%,
         Iran (Islamic Republic of),Both,40.1%,29.1%,22.7%,20.0%,18.3%,-37.1%,
         Iraq,Both,43.7%,42.9%,41.1%,36.6%,36.4%,-15.1%,
         Jordan,Both,36.7%,34.2%,27.8%,22.9%,21.4%,-37.7%,
         Kuwait,Both,33.0%,25.2%,19.6%,15.7%,13.2%,-47.6%,
         Lebanon,Both,27.6%,19.0%,18.0%,24.5%,21.9%,15.3%,
         Libya,Both,37.0%,32.3%,30.1%,29.1%,34.6%,7.1%,
         Morocco,Both,44.2%,38.8%,34.1%,32.1%,30.9%,-20.4%,
         Oman,Both,42.7%,35.4%,31.9%,23.8%,22.0%,-37.8%,
         Palestine,Both,34.6%,31.0%,27.9%,23.3%,41.3%,33.1%,
         Qatar,Both,33.3%,28.9%,19.7%,12.5%,12.4%,-57.2%,
         Saudi Arabia,Both,38.8%,29.9%,32.6%,26.3%,26.0%,-13.2%,
         Sudan,Both,59.1%,52.6%,44.0%,37.9%,38.3%,-27.3%,
         Syrian Arab Republic,Both,39.3%,34.8%,27.7%,27.5%,24.7%,-28.9%,
         Tunisia,Both,35.0%,30.6%,26.7%,23.9%,24.7%,-19.2%,
         Türkiye,Both,38.9%,32.1%,22.4%,21.4%,22.8%,-29.1%,
         United Arab Emirates,Both,40.6%,35.7%,21.7%,11.4%,10.9%,-69.5%,
         Yemen,Both,53.1%,44.5%,36.8%,36.6%,31.8%,-28.5%,
   South Asia,Both,55.2%,48.1%,41.6%,36.3%,35.4%,-26.5%,
      South Asia,Both,55.2%,48.1%,41.6%,36.3%,35.4%,-26.5%,
         Bangladesh,Both,55.7%,46.6%,39.0%,35.4%,35.2%,-24.5%,
         Bhutan,Both,52.5%,47.0%,37.6%,33.2%,32.8%,-30.3%,
         India,Both,55.9%,48.5%,41.7%,35.9%,35.0%,-27.8%,
         Nepal,Both,52.4%,44.7%,34.9%,30.0%,30.0%,-33.0%,
         Pakistan,Both,47.6%,46.0%,42.9%,39.0%,37.8%,-17.8%,
"   Southeast Asia, East Asia, and Oceania",Both,43.4%,36.7%,28.2%,22.7%,23.0%,-37.4%,
      East Asia,Both,42.8%,35.3%,24.6%,17.8%,17.7%,-49.8%,
         China,Both,43.2%,35.4%,24.5%,17.6%,17.5%,-50.7%,
         Democratic People's Republic of Korea,Both,33.7%,36.7%,32.1%,30.6%,30.3%,-17.3%,
         Taiwan*,Both,29.5%,25.3%,20.2%,17.8%,18.4%,-27.1%,
      Oceania,Both,52.0%,50.3%,48.8%,46.5%,46.9%,-6.7%,
         American Samoa,Both,40.7%,42.4%,39.5%,37.3%,38.0%,-10.3%,
         Cook Islands,Both,42.2%,38.7%,36.2%,35.1%,35.6%,-7.9%,
         Micronesia (Federated States of),Both,61.8%,58.4%,53.4%,50.4%,49.5%,-15.3%,
         Fiji,Both,47.3%,48.7%,48.8%,46.3%,47.1%,-3.3%,
         Guam,Both,31.3%,27.2%,26.9%,29.5%,30.4%,11.7%,
         Kiribati,Both,44.9%,42.8%,39.9%,37.0%,36.8%,-14.0%,
         Marshall Islands,Both,61.8%,62.1%,61.2%,59.4%,59.9%,-3.5%,
         Nauru,Both,69.4%,73.3%,72.6%,69.5%,70.3%,-4.1%,
         Niue,Both,39.5%,38.1%,35.7%,34.8%,35.0%,-8.2%,
         Northern Mariana Islands,Both,43.6%,41.7%,39.4%,37.0%,36.9%,-11.4%,
         Palau,Both,45.1%,44.2%,42.5%,40.5%,40.8%,-7.8%,
         Papua New Guinea,Both,53.4%,51.2%,49.3%,46.3%,46.5%,-9.1%,
         Samoa,Both,36.4%,36.6%,35.7%,36.7%,36.9%,0.8%,
         Solomon Islands,Both,65.3%,61.0%,58.3%,60.3%,61.2%,0.4%,
         Tokelau,Both,31.1%,29.6%,28.0%,26.3%,26.3%,-11.2%,
         Tonga,Both,37.6%,37.2%,36.8%,36.1%,37.7%,1.4%,
         Tuvalu,Both,59.8%,63.0%,56.2%,56.1%,57.5%,-8.7%,
         Vanuatu,Both,48.3%,46.2%,43.1%,42.2%,41.8%,-9.6%,
      Southeast Asia,Both,44.3%,39.9%,37.0%,33.9%,33.7%,-15.5%,
         Cambodia,Both,51.9%,46.4%,36.5%,31.5%,32.0%,-31.1%,
         Indonesia,Both,46.2%,40.1%,40.2%,36.5%,36.3%,-9.4%,
         Lao People's Democratic Republic,Both,65.0%,57.7%,48.9%,45.9%,45.8%,-20.7%,
         Malaysia,Both,36.6%,33.9%,29.8%,28.1%,27.0%,-20.4%,
         Maldives,Both,45.9%,33.5%,24.4%,19.7%,17.7%,-47.3%,
         Mauritius,Both,41.3%,37.0%,31.8%,30.0%,31.8%,-13.9%,
         Myanmar,Both,63.2%,58.2%,50.8%,46.3%,47.2%,-18.9%,
         Philippines,Both,37.2%,36.8%,37.3%,35.7%,34.2%,-7.0%,
