IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,1742,,,,,,1742.341718,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,1743,,,,,,1743.302308,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,SEAR,South-East Asia,Country,IND,India,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,17434,,,,,,17434.15397,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,60-64 years,AGEGROUP_AGE60-64,,,,,,,1751,,,,,,1750.983336,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,BRA,Brazil,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,1756,,,,,,1755.789301,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,1757,,,,,,1757.31521,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,17598,,,,,,17598.24622,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,FRA,France,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,176.9,,,,,,176.9394669,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,<1 year,AGEGROUP_AGELT1,,,,,,,1760,,,,,,1760.089393,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,DEU,Germany,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,177.3,,,,,,177.3170803,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,178.3,,,,,,178.3351468,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,DEU,Germany,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,17870,,,,,,17870.10372,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,1789,,,,,,1788.525032,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,1807,,,,,,1807.088358,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,85+ years,AGEGROUP_AGE85PLUS,,,,,,,18116,,,,,,18115.98686,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,BRA,Brazil,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,182.3,,,,,,182.2855447,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,1827,,,,,,1827.154654,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,18395,,,,,,18395.47932,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,BRA,Brazil,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,184.2,,,,,,184.2073861,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,1852,,,,,,1851.894825,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,USA,United States of America,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,1857,,,,,,1857.301982,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,186,,,,,,186.0184616,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,186.8,,,,,,186.7641208,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,SEAR,South-East Asia,Country,IND,India,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,1861,,,,,,1860.504695,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,18610,,,,,,18610.46024,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,1866,,,,,,1866.383396,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,187.7,,,,,,187.6822419,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,1870,,,,,,1870.106667,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,BRA,Brazil,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,50-54 years,AGEGROUP_AGE50-54,,,,,,,1877,,,,,,1877.27313,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,1894,,,,,,1893.70328,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,19150,,,,,,19150.27076,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,<1 year,AGEGROUP_AGELT1,,,,,,,192.2,,,,,,192.1537846,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,192.9,,,,,,192.9115181,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,19227,,,,,,19226.7486,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,DEU,Germany,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,55-59 years,AGEGROUP_AGE55-59,,,,,,,1923,,,,,,1923.036202,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,19249,,,,,,19248.94905,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,1948,,,,,,1947.762907,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,19960,,,,,,19959.89583,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,2003,,,,,,2003.273069,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,<1 year,AGEGROUP_AGELT1,,,,,,,2006,,,,,,2006.160769,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,201,,,,,,201.0265977,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,80-84 years,AGEGROUP_AGE80-84,,,,,,,20269,,,,,,20269.11768,,,EN,2020-12-05T18:30:00.000Z
