"S. No.","Variables","1971","1981","1991","2001","2011"
"M","F","M","F","M","F","M","F","M","F"
"1","Population","17,66,957","16,93,477","21,69,931","21,10,887","26,17,467","25,53,410","30,87,940","29,89,960","34,81,873","33,82,729"
"2","Child Population (0-6)","Not Available","Not Available","Not Available","Not Available","4,30,666","4,09,755","4,18,426","3,74,711","4,07,459","3,70,439"
"3","Literates","7,63,192","3,42,633","11,53,691","6,64,039","16,48,011","11,17,398","22,78,386","17,63,235","27,52,590","22,87,146"
"4","SC","3,94,690","3,74,882","5,37,838","5,15,880","6,66,055","6,44,241","7,63,333","7,38,837","8,76,300","8,52,952"
"5","ST","70,810","70,800","99,727","97,536","1,10,240","1,08,109","1,22,549","1,22,038","1,96,118","1,96,008"
"Note:-"
"1. Child population was not tabulated in 1971 and 1981 Census."
"2. Data for 1971, 1981, 1991 and 2001 Census is adjusted as per Jurisdiction of 2011."
"3. In case of no Scheduled Caste (SC) or Scheduled Tribe (ST) in a State/UT, data for SC/ST is shown as “Not Available”."
"4. Literate population for 1971 and 1981 Census relates to population aged five years and above and for the 1991, 2001 and 2011 Censuses it relates to the population aged seven years and above."
"5. There may be slight difference in present recasted population at district level with that of previous publications due to  the present robust method of linking/concordance at village/town level as per the jurisdictional changes."
